Data Guru Nasional - Dapodikdasmen;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
13;Prop. D.K.I. Jakarta;82.83;30.2;52.63;41.299;11.977;29.322;19.404;8.076;11.328;11.098;4.786;6.312;10.924;5.339;5.585;105;22;83
14;Prop. Nusa Tenggara Barat;73.749;34.981;38.768;40.383;17.916;22.467;17.491;8.605;8.886;8.903;4.592;4.311;6.819;3.805;3.014;153;63;90
15;Prop. Kalimantan Barat;64.81;28.453;36.357;40.409;17.141;23.268;14.43;6.442;7.988;6.49;3.045;3.445;3.454;1.814;1.64;27;11;16
16;Prop. Bali;49.504;23.342;26.162;26.307;11.252;15.055;11.927;5.991;5.936;5.759;3.209;2.55;5.511;2.89;2.621;0;0;0
17;Prop. Kalimantan Selatan;48.417;18.796;29.621;30.859;11.649;19.21;9.405;3.663;5.742;4.345;1.8;2.545;3.548;1.602;1.946;260;82;178
18;Prop. Jambi;47.565;17.549;30.016;27.904;9.499;18.405;10.297;4.105;6.192;5.48;2.139;3.341;3.793;1.775;2.018;91;31;60
19;Prop. Sulawesi Tengah;46.136;17.502;28.634;28.103;9.674;18.429;10.126;4.231;5.895;4.445;2.027;2.418;3.446;1.567;1.879;16;3;13
20;Prop. Sulawesi Tenggara;44.894;17.609;27.285;24.33;8.246;16.084;10.434;4.63;5.804;6.64;3.142;3.498;3.206;1.505;1.701;284;86;198
21;Prop. Kalimantan Timur;44.459;17.341;27.118;25.242;8.709;16.533;9.853;4.283;5.57;4.442;1.985;2.457;4.906;2.363;2.543;16;1;15
22;Prop. D.I. Yogyakarta;41.255;16.681;24.574;20.685;7.099;13.586;9.186;4.048;5.138;4.362;2.012;2.35;7.022;3.522;3.5;0;0;0
23;Prop. Kalimantan Tengah;40.748;15.551;25.197;25.055;9.156;15.899;8.764;3.529;5.235;4.289;1.735;2.554;2.579;1.114;1.465;61;17;44
24;Prop. Sulawesi Utara;36.385;9.869;26.516;19.374;3.877;15.497;8.988;2.741;6.247;4.217;1.603;2.614;3.733;1.631;2.102;73;17;56
25;Prop. Maluku;33.848;11.048;22.8;17.736;5.347;12.389;8.113;2.759;5.354;5.644;1.976;3.668;2.344;964;1.38;11;2;9
26;Prop. Papua;31.123;15.072;16.051;17.058;8.52;8.538;7.417;3.526;3.891;3.992;1.766;2.226;2.606;1.24;1.366;50;20;30
27;Prop. Bengkulu;28.959;10.674;18.285;15.718;5.534;10.184;6.998;2.623;4.375;3.753;1.462;2.291;2.431;1.04;1.391;59;15;44
28;Prop. Kepulauan Riau;22.345;7.716;14.629;13.032;4.157;8.875;4.835;1.711;3.124;2.477;926;1.551;1.988;919;1.069;13;3;10
29;Prop. Sulawesi Barat;21.904;8.943;12.961;13.504;5.006;8.498;4.555;2.077;2.478;1.774;834;940;2.036;1.016;1.02;35;10;25
30;Prop. Maluku Utara;20.631;8.093;12.538;10.772;3.642;7.13;5.098;2.224;2.874;2.987;1.385;1.602;1.685;826;859;89;16;73
31;Prop. Gorontalo;16.016;4.401;11.615;8.742;1.991;6.751;3.967;1.166;2.801;1.674;586;1.088;1.633;658;975;0;0;0
32;Prop. Bangka Belitung;15.039;5.635;9.404;8.909;2.959;5.95;3.104;1.242;1.862;1.504;666;838;1.515;768;747;7;0;7
33;Prop. Papua Barat;14.042;5.909;8.133;7.471;3.059;4.412;3.411;1.483;1.928;2.077;889;1.188;1.061;473;588;22;5;17
34;Prop. Kalimantan Utara;9.884;4.452;5.432;5.73;2.453;3.277;2.271;1.101;1.17;1.153;531;622;730;367;363;0;0;0
35;Luar Negeri;324;156;168;124;49;75;137;72;65;63;35;28;0;0;0;0;0;0
Total;Total;2.912.170;1.127.420;1.784.749;1.655.145;574.411;1.080.734;652.196;273.569;378.627;308.953;133.219;175.734;290.653;144.685;145.967;5.223;1.536;3.687
