Data Guru Nasional - Dapodikdasmen;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Prop. Jawa Barat;388.754;163.378;225.375;223.401;83.074;140.327;85.825;39.833;45.992;33.492;15.836;17.656;45.912;24.597;21.314;124;38;86
2;Prop. Jawa Timur;373.786;163.959;209.827;214.152;86.131;128.021;82.324;38.759;43.565;33.285;16.32;16.965;42.539;22.292;20.247;1.486;457;1.029
3;Prop. Jawa Tengah;334.739;143.45;191.289;190.66;73.35;117.31;73.127;33.451;39.676;25.792;12.467;13.325;44.443;23.942;20.501;717;240;477
4;Prop. Sumatera Utara;192.538;58.701;133.837;110.375;27.117;83.258;42.13;14.996;27.134;21.594;8.216;13.378;18.25;8.338;9.912;189;34;155
5;Prop. Sulawesi Selatan;126.997;42.448;84.549;72.53;20.582;51.948;29.116;10.966;18.15;14.891;6.204;8.687;10.304;4.657;5.647;156;39;117
6;Prop. Sumatera Selatan;104.381;33.264;71.117;60;17.701;42.299;23.915;7.896;16.019;13.741;4.877;8.864;6.699;2.78;3.919;26;10;16
7;Prop. Banten;100.081;41.506;58.575;58.953;21.457;37.496;21.001;9.943;11.058;9.488;4.591;4.897;10.421;5.432;4.989;218;83;135
8;Prop. Nusa Tenggara Timur;96.65;41.81;54.84;54.083;20.948;33.135;23.82;11.355;12.465;12.28;6.113;6.167;6.338;3.351;2.987;129;43;86
9;Prop. Lampung;96.508;35.451;61.057;56.359;18.338;38.021;21.649;8.82;12.829;10.134;4.17;5.964;8.336;4.112;4.224;30;11;19
10;Prop. Aceh;92.659;26.409;66.25;49.458;12.698;36.76;22.42;6.622;15.798;14.5;4.626;9.874;5.923;2.365;3.558;358;98;260
11;Prop. Riau;87.196;26.193;61.003;51.015;14.171;36.844;18.638;5.781;12.857;10.537;3.424;7.113;6.886;2.786;4.1;120;31;89
12;Prop. Sumatera Barat;83.014;20.878;62.136;45.413;9.932;35.481;18.02;4.819;13.201;11.651;3.244;8.407;7.632;2.835;4.797;298;48;250
