Data Guru Nasional - Dapodikdasmen;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Prop. Jawa Barat;395.118;165.516;229.601;220.729;81.506;139.223;86.294;39.932;46.362;34.612;16.343;18.269;48.977;26.27;22.706;4.506;1.465;3.041
2;Prop. Jawa Timur;374.267;163.122;211.145;210.878;84.188;126.69;82.181;38.523;43.658;33.803;16.511;17.292;43.642;22.81;20.832;3.763;1.09;2.673
3;Prop. Jawa Tengah;334.882;142.772;192.11;188.058;71.849;116.209;72.802;33.146;39.656;25.986;12.507;13.479;45.119;24.292;20.827;2.917;978;1.939
4;Prop. Sumatera Utara;194.335;59.067;135.268;109.978;26.881;83.097;42.382;14.959;27.423;22.187;8.415;13.772;19.124;8.664;10.46;664;148;516
5;Prop. Sulawesi Selatan;128.792;42.699;86.093;72.402;20.357;52.045;29.307;10.974;18.333;15.301;6.316;8.985;10.596;4.744;5.852;1.186;308;878
6;Prop. Sumatera Selatan;106.45;33.759;72.691;60.083;17.627;42.456;24.433;7.999;16.434;14.235;5.03;9.205;7.217;2.973;4.244;482;130;352
7;Prop. Banten;101.341;41.77;59.571;58.337;21.079;37.258;21.103;9.945;11.158;9.748;4.714;5.034;11.052;5.726;5.326;1.101;306;795
8;Prop. Nusa Tenggara Timur;98.238;42.229;56.009;54.006;20.741;33.265;24.303;11.519;12.784;12.722;6.279;6.443;6.603;3.483;3.12;604;207;397
9;Prop. Lampung;97.928;35.783;62.145;56.24;18.14;38.1;21.9;8.844;13.056;10.517;4.289;6.228;8.898;4.387;4.511;373;123;250
10;Prop. Aceh;94.4;26.654;67.746;49.657;12.657;37;22.779;6.609;16.17;14.94;4.699;10.241;6.258;2.5;3.758;766;189;577
11;Prop. Riau;88.591;26.424;62.167;51.139;14.068;37.071;18.902;5.832;13.07;10.797;3.478;7.319;7.243;2.917;4.326;510;129;381
12;Prop. Sumatera Barat;84.746;21.063;63.683;45.308;9.874;35.434;18.16;4.812;13.348;12.079;3.29;8.789;7.862;2.883;4.979;1.337;204;1.133
13;Prop. D.K.I. Jakarta;83.517;30.503;53.014;40.089;11.615;28.474;19.557;8.128;11.429;11.544;4.974;6.57;11.134;5.447;5.687;1.193;339;854
14;Prop. Nusa Tenggara Barat;74.628;35.247;39.381;40.223;17.752;22.471;17.596;8.622;8.974;9.173;4.705;4.468;6.989;3.923;3.066;647;245;402
15;Prop. Kalimantan Barat;65.505;28.606;36.899;39.869;16.759;23.11;14.681;6.564;8.117;6.981;3.268;3.713;3.756;1.943;1.813;218;72;146
16;Prop. Bali;50.399;23.661;26.738;26.314;11.22;15.094;12.031;6.004;6.027;5.848;3.242;2.606;5.826;3.037;2.789;380;158;222
17;Prop. Kalimantan Selatan;48.95;18.924;30.026;30.667;11.502;19.165;9.377;3.652;5.725;4.501;1.857;2.644;3.834;1.735;2.099;571;178;393
18;Prop. Jambi;48.259;17.726;30.533;27.974;9.494;18.48;10.429;4.16;6.269;5.547;2.14;3.407;3.971;1.831;2.14;338;101;237
19;Prop. Sulawesi Tengah;46.619;17.554;29.065;27.925;9.509;18.416;10.222;4.251;5.971;4.601;2.058;2.543;3.603;1.657;1.946;268;79;189
20;Prop. Sulawesi Tenggara;45.798;17.763;28.035;24.229;8.098;16.131;10.738;4.709;6.029;6.96;3.264;3.696;3.33;1.534;1.796;541;158;383
21;Prop. Kalimantan Timur;45.034;17.446;27.588;25.186;8.603;16.583;9.954;4.312;5.642;4.547;2.028;2.519;4.997;2.405;2.592;350;98;252
22;Prop. D.I. Yogyakarta;42.751;17.046;25.705;20.699;7.029;13.67;9.228;4.036;5.192;4.467;2.055;2.412;7.038;3.498;3.54;1.319;428;891
23;Prop. Kalimantan Tengah;41.182;15.66;25.522;25.029;9.123;15.906;8.843;3.537;5.306;4.399;1.787;2.612;2.659;1.134;1.525;252;79;173
24;Prop. Sulawesi Utara;36.44;9.903;26.537;19.068;3.807;15.261;8.9;2.706;6.194;4.37;1.664;2.706;3.831;1.66;2.171;271;66;205
25;Prop. Maluku;33.931;11.046;22.885;17.493;5.265;12.228;8.116;2.75;5.366;5.774;2.021;3.753;2.392;974;1.418;156;36;120
26;Prop. Papua;31.957;15.346;16.611;17.145;8.493;8.652;7.66;3.613;4.047;4.161;1.834;2.327;2.877;1.366;1.511;114;40;74
27;Prop. Bengkulu;29.489;10.805;18.684;15.695;5.464;10.231;7.099;2.665;4.434;3.9;1.508;2.392;2.53;1.093;1.437;265;75;190
28;Prop. Kepulauan Riau;22.978;7.891;15.087;13.176;4.169;9.007;4.963;1.766;3.197;2.573;962;1.611;2.074;962;1.112;192;32;160
29;Prop. Sulawesi Barat;22.424;9.079;13.345;13.473;4.949;8.524;4.692;2.115;2.577;1.888;874;1.014;2.133;1.062;1.071;238;79;159
30;Prop. Maluku Utara;20.589;8.019;12.57;10.543;3.531;7.012;5.045;2.179;2.866;3.029;1.396;1.633;1.741;857;884;231;56;175
31;Prop. Gorontalo;16.322;4.524;11.798;8.635;1.973;6.662;3.991;1.176;2.815;1.76;613;1.147;1.73;706;1.024;206;56;150
32;Prop. Bangka Belitung;15.353;5.73;9.623;8.897;2.928;5.969;3.198;1.293;1.905;1.555;689;866;1.549;774;775;154;46;108
33;Prop. Papua Barat;14.314;5.894;8.42;7.468;2.962;4.506;3.542;1.516;2.026;2.12;891;1.229;1.148;516;632;36;9;27
34;Prop. Kalimantan Utara;10.017;4.519;5.498;5.684;2.422;3.262;2.362;1.145;1.217;1.163;542;621;761;393;368;47;17;30
