Data Guru Nasional - Dapodikdasmen;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Prov. Jawa Barat;372.44;148.483;223.957;199.459;68.401;131.058;84.09;36.946;47.144;35.222;16.075;19.147;49.504;25.795;23.709;4.165;1.266;2.899
2;Prov. Jawa Timur;343.638;142.669;200.969;187.918;69.942;117.976;78.346;35.036;43.31;32.024;15.24;16.784;42.013;21.552;20.461;3.337;899;2.438
3;Prov. Jawa Tengah;305;123.081;181.919;165.953;58.285;107.668;69.233;30.096;39.137;24.396;11.44;12.956;42.768;22.445;20.323;2.65;815;1.835
4;Prov. Sumatera Utara;181.5;51.52;129.98;100.425;22.417;78.008;40.806;13.332;27.474;21.392;7.691;13.701;18.235;7.957;10.278;642;123;519
5;Prov. Sulawesi Selatan;119.439;36.656;82.783;65.416;16.623;48.793;28.206;9.736;18.47;14.608;5.732;8.876;10.086;4.291;5.795;1.123;274;849
6;Prov. Sumatera Selatan;100.178;29.937;70.241;54.709;15.032;39.677;23.894;7.306;16.588;13.908;4.662;9.246;7.217;2.828;4.389;450;109;341
7;Prov. Banten;95.424;37.186;58.238;53.457;17.869;35.588;20.165;8.976;11.189;9.707;4.53;5.177;11.111;5.535;5.576;984;276;708
8;Prov. Lampung;93.245;32.107;61.138;51.826;15.55;36.276;21.309;8.034;13.275;10.481;4.012;6.469;9.248;4.387;4.861;381;124;257
9;Prov. Nusa Tenggara Timur;92.813;37.152;55.661;48.898;17.084;31.814;23.855;10.469;13.386;12.892;6.09;6.802;6.567;3.317;3.25;601;192;409
10;Prov. Aceh;88.923;22.608;66.315;45.56;10.232;35.328;21.823;5.584;16.239;14.556;4.237;10.319;6.187;2.37;3.817;797;185;612
11;Prov. Riau;84.13;23.025;61.105;47.609;11.748;35.861;18.171;5.136;13.035;10.597;3.239;7.358;7.253;2.781;4.472;500;121;379
12;Prov. D.K.I. Jakarta;79.389;27.941;51.448;38.068;10.588;27.48;18.619;7.394;11.225;11.153;4.683;6.47;10.444;4.983;5.461;1.105;293;812
