Data Guru Nasional - Dapodikdasmen;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Prov. Jawa Barat;377.678;148.956;228.722;198.225;66.679;131.546;86.943;37.729;49.214;35.948;16.257;19.691;52.395;27.048;25.347;4.167;1.243;2.924
2;Prov. Jawa Timur;338.786;139.197;199.589;182.417;66.984;115.433;78.576;34.69;43.886;31.842;14.989;16.853;42.606;21.67;20.936;3.345;864;2.481
3;Prov. Jawa Tengah;300.185;119.213;180.972;160.77;55.105;105.665;68.988;29.473;39.515;24.074;11.168;12.906;43.65;22.655;20.995;2.703;812;1.891
4;Prov. Sumatera Utara;182.421;51.01;131.411;99.396;21.713;77.683;41.603;13.293;28.31;21.876;7.774;14.102;18.863;8.09;10.773;683;140;543
5;Prov. Sulawesi Selatan;118.795;35.799;82.996;64.946;16.23;48.716;28.481;9.63;18.851;14.343;5.55;8.793;9.885;4.109;5.776;1.14;280;860
6;Prov. Sumatera Selatan;100.296;29.563;70.733;54.192;14.674;39.518;24.524;7.369;17.155;13.917;4.624;9.293;7.219;2.793;4.426;444;103;341
7;Prov. Banten;96.563;37.09;59.473;52.999;17.288;35.711;20.67;9.063;11.607;10.183;4.683;5.5;11.681;5.776;5.905;1.03;280;750
8;Prov. Lampung;94.891;32.166;62.725;51.772;15.237;36.535;21.787;7.999;13.788;10.895;4.115;6.78;10.031;4.681;5.35;406;134;272
9;Prov. Nusa Tenggara Timur;93.875;37.046;56.829;48.197;16.598;31.599;24.47;10.509;13.961;13.608;6.255;7.353;6.988;3.486;3.502;612;198;414
10;Prov. Aceh;88.259;21.91;66.349;44.598;9.751;34.847;21.819;5.437;16.382;14.527;4.166;10.361;6.479;2.375;4.104;836;181;655
11;Prov. Riau;84.729;23.065;61.664;47.363;11.562;35.801;18.6;5.222;13.378;10.853;3.338;7.515;7.396;2.828;4.568;517;115;402
