Data Guru Nasional - Dapodikdasmen;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Prop. Jawa Barat;394.586;164.763;229.823;219.512;80.651;138.861;86.073;39.576;46.497;35.078;16.52;18.558;49.412;26.564;22.848;4.511;1.452;3.059
2;Prop. Jawa Timur;370.951;161.399;209.552;208.644;83.088;125.556;81.901;38.276;43.625;33.489;16.372;17.117;43.185;22.598;20.587;3.732;1.065;2.667
3;Prop. Jawa Tengah;332.165;141.076;191.089;186.511;70.962;115.549;72.454;32.823;39.631;25.687;12.347;13.34;44.626;23.988;20.638;2.887;956;1.931
4;Prop. Sumatera Utara;193.486;58.503;134.983;109.424;26.606;82.818;42.237;14.779;27.458;22.26;8.422;13.838;18.895;8.55;10.345;670;146;524
5;Prop. Sulawesi Selatan;127.821;42.016;85.805;71.81;20.001;51.809;29.198;10.848;18.35;15.147;6.199;8.948;10.48;4.662;5.818;1.186;306;880
6;Prop. Sumatera Selatan;105.862;33.423;72.439;59.611;17.368;42.243;24.457;7.991;16.466;14.141;4.996;9.145;7.187;2.944;4.243;466;124;342
7;Prop. Banten;100.916;41.48;59.436;57.864;20.776;37.088;21.123;9.953;11.17;9.798;4.745;5.053;11.037;5.7;5.337;1.094;306;788
8;Prop. Nusa Tenggara Timur;98.285;41.945;56.34;53.785;20.532;33.253;24.429;11.444;12.985;12.87;6.309;6.561;6.579;3.45;3.129;622;210;412
9;Prop. Lampung;97.823;35.572;62.251;55.978;17.953;38.025;21.867;8.748;13.119;10.588;4.308;6.28;9.01;4.436;4.574;380;127;253
10;Prop. Aceh;93.834;26.226;67.608;49.262;12.46;36.802;22.639;6.45;16.189;14.932;4.663;10.269;6.242;2.464;3.778;759;189;570
11;Prop. Riau;88.422;26.248;62.174;50.968;13.964;37.004;18.963;5.802;13.161;10.794;3.472;7.322;7.191;2.884;4.307;506;126;380
12;Prop. Sumatera Barat;84.093;20.77;63.323;45.023;9.762;35.261;18.091;4.766;13.325;11.885;3.235;8.65;7.738;2.797;4.941;1.356;210;1.146
13;Prop. D.K.I. Jakarta;83.189;30.149;53.04;40.388;11.592;28.796;19.448;8.051;11.397;11.462;4.938;6.524;10.736;5.237;5.499;1.155;331;824
14;Prop. Nusa Tenggara Barat;73.756;34.58;39.176;39.598;17.298;22.3;17.546;8.549;8.997;9.055;4.638;4.417;6.899;3.846;3.053;658;249;409
15;Prop. Kalimantan Barat;65.217;28.286;36.931;39.496;16.478;23.018;14.646;6.505;8.141;7.054;3.277;3.777;3.794;1.95;1.844;227;76;151
16;Prop. Bali;50.322;23.384;26.938;26.461;11.161;15.3;12.003;5.926;6.077;5.712;3.163;2.549;5.772;2.982;2.79;374;152;222
17;Prop. Kalimantan Selatan;48.927;18.848;30.079;30.625;11.448;19.177;9.371;3.635;5.736;4.539;1.876;2.663;3.832;1.715;2.117;560;174;386
18;Prop. Jambi;47.946;17.459;30.487;27.725;9.346;18.379;10.421;4.1;6.321;5.535;2.13;3.405;3.932;1.787;2.145;333;96;237
19;Prop. Sulawesi Tengah;46.126;17.292;28.834;27.359;9.261;18.098;10.277;4.233;6.044;4.62;2.068;2.552;3.616;1.656;1.96;254;74;180
20;Prop. Sulawesi Tenggara;45.586;17.457;28.129;24.081;7.929;16.152;10.694;4.605;6.089;6.93;3.237;3.693;3.338;1.532;1.806;543;154;389
21;Prop. Kalimantan Timur;45.075;17.437;27.638;25.206;8.569;16.637;9.99;4.336;5.654;4.519;2.015;2.504;5.006;2.418;2.588;354;99;255
22;Prop. D.I. Yogyakarta;42.682;16.933;25.749;20.723;7.023;13.7;9.15;3.98;5.17;4.433;2.028;2.405;7.038;3.474;3.564;1.338;428;910
