Data Guru Nasional - Dapodikdasmen;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Prov. Jawa Barat;375.687;146.322;229.365;194.133;64.018;130.115;87.881;37.457;50.424;36.274;16.272;20.002;53.224;27.329;25.895;4.175;1.246;2.929
2;Prov. Jawa Timur;331.274;133.694;197.58;176.889;63.635;113.254;78.024;33.681;44.343;30.974;14.449;16.525;41.883;21.012;20.871;3.504;917;2.587
3;Prov. Jawa Tengah;296.643;115.38;181.263;157.601;52.567;105.034;68.998;28.772;40.226;23.789;10.869;12.92;43.58;22.4;21.18;2.675;772;1.903
4;Prov. Sumatera Utara;182.196;50.183;132.013;97.761;20.887;76.874;42.123;13.108;29.015;22.391;7.906;14.485;19.211;8.138;11.073;710;144;566
5;Prov. Sulawesi Selatan;117.093;34.607;82.486;63.534;15.585;47.949;28.498;9.368;19.13;14.29;5.451;8.839;9.642;3.933;5.709;1.129;270;859
6;Prov. Sumatera Selatan;98.733;28.785;69.948;53.457;14.398;39.059;24.365;7.161;17.204;13.431;4.416;9.015;7.046;2.719;4.327;434;91;343
7;Prov. Banten;96.239;36.356;59.883;52.219;16.654;35.565;20.782;8.919;11.863;10.326;4.694;5.632;11.836;5.803;6.033;1.076;286;790
8;Prov. Lampung;95.348;31.871;63.477;51.251;14.826;36.425;22.518;8.118;14.4;10.983;4.091;6.892;10.168;4.707;5.461;428;129;299
9;Prov. Nusa Tenggara Timur;93.89;36.283;57.607;47.355;15.979;31.376;25.437;10.633;14.804;13.648;6.135;7.513;6.835;3.34;3.495;615;196;419
10;Prov. Aceh;86.023;20.857;65.166;43.538;9.376;34.162;21.489;5.185;16.304;13.831;3.855;9.976;6.256;2.251;4.005;909;190;719
11;Prov. Riau;84.535;22.758;61.777;46.892;11.395;35.497;18.746;5.134;13.612;10.841;3.267;7.574;7.504;2.844;4.66;552;118;434
12;Prov. D.K.I. Jakarta;80.755;28.31;52.445;37.967;10.641;27.326;18.969;7.464;11.505;11.128;4.637;6.491;11.428;5.228;6.2;1.263;340;923
13;Prov. Sumatera Barat;77.916;17.716;60.2;40.914;8.093;32.821;17.132;4.109;13.023;11.079;2.769;8.31;7.43;2.533;4.897;1.361;212;1.149
14;Prov. Nusa Tenggara Barat;68.063;29.009;39.054;35.147;13.523;21.624;17.19;7.652;9.538;8.482;4.125;4.357;6.603;3.488;3.115;641;221;420
15;Prov. Kalimantan Barat;60.227;23.2;37.027;34.054;12.092;21.962;14.465;5.859;8.606;7.291;3.151;4.14;4.203;2.038;2.165;214;60;154
16;Prov. Bali;46.951;20.156;26.795;24.035;9.212;14.823;11.425;5.238;6.187;5.471;2.816;2.655;5.641;2.745;2.896;379;145;234
17;Prov. Jambi;45.158;14.722;30.436;24.509;7.218;17.291;10.498;3.666;6.832;5.665;2.033;3.632;4.136;1.717;2.419;350;88;262
18;Prov. Kalimantan Selatan;44.719;15.601;29.118;27.051;8.993;18.058;8.841;3.099;5.742;4.517;1.764;2.753;3.706;1.56;2.146;604;185;419
19;Prov. Kalimantan Timur;43.42;15.275;28.145;23.717;7.239;16.478;9.925;3.861;6.064;4.588;1.886;2.702;4.8;2.183;2.617;390;106;284
20;Prov. Sulawesi Tengah;43.068;14.398;28.67;23.743;6.95;16.793;10.399;3.78;6.619;5.063;2.097;2.966;3.622;1.515;2.107;241;56;185
21;Prov. Sulawesi Tenggara;42.756;14.521;28.235;21.365;5.934;15.431;11.063;4.248;6.815;6.663;2.879;3.784;3.136;1.323;1.813;529;137;392
22;Prov. D.I. Yogyakarta;39.842;14.511;25.331;18.662;5.664;12.998;8.838;3.499;5.339;4.464;1.856;2.608;6.682;3.147;3.535;1.196;345;851
23;Prov. Kalimantan Tengah;39.379;13.489;25.89;22.676;7.376;15.3;8.931;3.161;5.77;4.642;1.733;2.909;2.833;1.141;1.692;297;78;219
24;Prov. Sulawesi Utara;32.976;8.667;24.309;16.012;2.917;13.095;8.29;2.445;5.845;4.475;1.597;2.878;3.921;1.638;2.283;278;70;208
25;Prov. Maluku;31.288;9.003;22.285;15.067;3.925;11.142;7.965;2.354;5.611;5.805;1.83;3.975;2.312;869;1.443;139;25;114
26;Prov. Papua;30.411;13.13;17.281;15.65;6.82;8.83;7.663;3.298;4.365;4.266;1.774;2.492;2.72;1.204;1.516;112;34;78
27;Prov. Bengkulu;28.026;9.004;19.022;14.114;4.119;9.995;7.024;2.343;4.681;3.904;1.395;2.509;2.689;1.077;1.612;295;70;225
28;Prov. Kepulauan Riau;24.053;7.704;16.349;12.989;3.784;9.205;5.502;1.817;3.685;3.118;1.076;2.042;2.214;988;1.226;230;39;191
29;Prov. Sulawesi Barat;20.746;7.401;13.345;11.564;3.62;7.944;4.801;1.918;2.883;1.985;824;1.161;2.16;971;1.189;236;68;168
30;Prov. Maluku Utara;19.793;6.657;13.136;9.304;2.559;6.745;5.281;1.945;3.336;3.219;1.309;1.91;1.739;781;958;250;63;187
31;Prov. Kepulauan Bangka Belitung;15.209;5.304;9.905;8.432;2.626;5.806;3.358;1.211;2.147;1.639;671;968;1.627;759;868;153;37;116
32;Prov. Gorontalo;14.841;3.843;10.998;7.157;1.413;5.744;3.747;1.016;2.731;1.931;673;1.258;1.804;688;1.116;202;53;149
33;Prov. Papua Barat;14.102;5.002;9.1;7.027;2.3;4.727;3.674;1.381;2.293;2.183;825;1.358;1.186;491;695;32;5;27
34;Prov. Kalimantan Utara;10.138;4.12;6.018;5.466;2.076;3.39;2.456;1.037;1.419;1.301;572;729;839;405;434;76;30;46
35;Luar Negeri;842;377;465;456;173;283;266;133;133;112;66;46;8;5;3;0;0;0
Total;Total;2.732.340;958.216;1.774.124;1.441.708;438.587;1.003.121;646.564;244.07;402.494;313.769;125.763;188.006;304.624;142.97;161.654;25.675;6.826;18.849
