Data Guru Nasional - Dapodikdasmen;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Prov. Jawa Barat;378.277;148.372;229.905;197.474;65.934;131.54;87.561;37.723;49.838;36.248;16.353;19.895;52.853;27.129;25.724;4.141;1.233;2.908
2;Prov. Jawa Timur;338.021;137.846;200.175;182.059;66.241;115.818;78.941;34.566;44.375;31.49;14.807;16.683;42.198;21.376;20.822;3.333;856;2.477
3;Prov. Jawa Tengah;300.07;118.228;181.842;161.187;54.73;106.457;69.278;29.367;39.911;23.73;10.967;12.763;43.193;22.365;20.828;2.682;799;1.883
4;Prov. Sumatera Utara;181.84;50.546;131.294;98.642;21.399;77.243;41.683;13.181;28.502;21.932;7.74;14.192;18.9;8.086;10.814;683;140;543
5;Prov. Sulawesi Selatan;118.578;35.436;83.142;64.752;16.097;48.655;28.779;9.606;19.173;14.231;5.48;8.751;9.686;3.977;5.709;1.13;276;854
6;Prov. Sumatera Selatan;100.376;29.513;70.863;54.416;14.796;39.62;24.705;7.363;17.342;13.661;4.503;9.158;7.172;2.762;4.41;422;89;333
7;Prov. Banten;96.685;36.966;59.719;52.779;17.093;35.686;20.888;9.105;11.783;10.22;4.703;5.517;11.733;5.777;5.956;1.065;288;777
8;Prov. Lampung;95.676;32.283;63.393;51.922;15.231;36.691;22.537;8.204;14.333;10.805;4.058;6.747;9.971;4.654;5.317;441;136;305
9;Prov. Nusa Tenggara Timur;93.745;36.681;57.064;48.111;16.451;31.66;24.848;10.549;14.299;13.339;6.091;7.248;6.827;3.39;3.437;620;200;420
10;Prov. Aceh;87.938;21.696;66.242;44.449;9.721;34.728;21.925;5.403;16.522;14.332;4.056;10.276;6.402;2.34;4.062;830;176;654
11;Prov. Riau;85.023;23.065;61.958;47.244;11.554;35.69;18.923;5.267;13.656;10.913;3.313;7.6;7.412;2.82;4.592;531;111;420
12;Prov. D.K.I. Jakarta;82.048;28.902;53.146;38.543;10.825;27.718;19.359;7.652;11.707;11.404;4.789;6.615;11.52;5.31;6.21;1.222;326;896
13;Prov. Sumatera Barat;79.028;18.109;60.919;41.245;8.215;33.03;17.65;4.242;13.408;11.323;2.878;8.445;7.493;2.567;4.926;1.317;207;1.11
14;Prov. Nusa Tenggara Barat;69.222;29.88;39.342;35.87;14.035;21.835;17.47;7.871;9.599;8.607;4.234;4.373;6.631;3.517;3.114;644;223;421
15;Prov. Kalimantan Barat;61.319;23.917;37.402;34.903;12.598;22.305;14.631;6.007;8.624;7.367;3.203;4.164;4.188;2.048;2.14;230;61;169
16;Prov. Bali;47.334;20.497;26.837;24.119;9.318;14.801;11.672;5.413;6.259;5.457;2.826;2.631;5.695;2.792;2.903;391;148;243
17;Prov. Jambi;45.815;15.106;30.709;25.007;7.449;17.558;10.6;3.73;6.87;5.709;2.066;3.643;4.141;1.767;2.374;358;94;264
18;Prov. Kalimantan Selatan;45.469;16.004;29.465;27.575;9.263;18.312;8.984;3.157;5.827;4.588;1.816;2.772;3.724;1.585;2.139;598;183;415
19;Prov. Kalimantan Timur;43.216;15.332;27.884;23.777;7.312;16.465;9.858;3.89;5.968;4.469;1.846;2.623;4.741;2.187;2.554;371;97;274
20;Prov. Sulawesi Tengah;43.1;14.571;28.529;24.048;7.13;16.918;10.15;3.698;6.452;4.999;2.114;2.885;3.645;1.561;2.084;258;68;190
21;Prov. Sulawesi Tenggara;42.741;14.692;28.049;21.498;6.05;15.448;10.872;4.217;6.655;6.687;2.934;3.753;3.165;1.35;1.815;519;141;378
22;Prov. D.I. Yogyakarta;40.077;14.804;25.273;18.955;5.811;13.144;8.785;3.555;5.23;4.381;1.876;2.505;6.744;3.205;3.539;1.212;357;855
