Data Sekolah Nasional - Dapodikdasmen;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S
1;Prov. Jawa Barat;29.926;20.453;9.473;19.674;17.694;1.98;5.312;1.93;3.382;1.633;506;1.127;2.926;285;2.641;381;38;343
2;Prov. Jawa Timur;28.063;19.923;8.14;19.237;17.409;1.828;4.728;1.724;3.004;1.543;423;1.12;2.093;296;1.797;462;71;391
3;Prov. Jawa Tengah;24.987;20.255;4.732;19.011;17.849;1.162;3.336;1.77;1.566;865;360;505;1.586;237;1.349;189;39;150
4;Prov. Sumatera Utara;14.468;10.345;4.123;9.735;8.303;1.432;2.594;1.32;1.274;1.086;425;661;996;268;728;57;29;28
5;Prov. Sulawesi Selatan;9.217;7.935;1.282;6.452;6.158;294;1.658;1.25;408;586;336;250;436;168;268;85;23;62
6;Prov. Nusa Tenggara Timur;7.647;5.097;2.55;5.093;3.299;1.794;1.69;1.285;405;540;341;199;290;145;145;34;27;7
7;Prov. Banten;7.441;4.744;2.697;4.618;3.955;663;1.475;559;916;549;148;401;702;75;627;97;7;90
8;Prov. Lampung;7.077;5.419;1.658;4.704;4.365;339;1.361;696;665;497;238;259;490;109;381;25;11;14
9;Prov. Sumatera Selatan;6.934;5.625;1.309;4.665;4.29;375;1.342;884;458;591;324;267;304;114;190;32;13;19
10;Prov. Kalimantan Barat;6.42;5.533;887;4.419;4.148;271;1.323;1.003;320;436;263;173;221;106;115;21;13;8
11;Prov. Sumatera Barat;5.701;5.032;669;4.207;3.987;220;811;674;137;325;231;94;210;111;99;148;29;119
12;Prov. Riau;5.664;4.493;1.171;3.701;3.214;487;1.175;839;336;446;299;147;296;124;172;46;17;29
13;Prov. Aceh;5.439;4.797;642;3.473;3.334;139;1.152;891;261;527;395;132;214;149;65;73;28;45
14;Prov. Nusa Tenggara Barat;4.824;3.881;943;3.201;3.007;194;931;604;327;328;158;170;319;96;223;45;16;29
15;Prov. D.K.I. Jakarta;4.631;1.967;2.664;2.397;1.484;913;1.073;294;779;493;117;376;581;63;518;87;9;78
16;Prov. Sulawesi Tengah;4.171;3.682;489;2.897;2.662;235;843;726;117;218;173;45;187;103;84;26;18;8
17;Prov. Kalimantan Tengah;3.875;3.427;448;2.638;2.433;205;835;699;136;241;182;59;137;94;43;24;19;5
18;Prov. Kalimantan Selatan;3.871;3.508;363;2.918;2.774;144;606;519;87;193;135;58;123;61;62;31;19;12
19;Prov. Papua;3.628;2.308;1.32;2.554;1.595;959;691;488;203;232;136;96;138;80;58;13;9;4
20;Prov. Sulawesi Tenggara;3.596;3.286;310;2.315;2.249;66;759;686;73;293;235;58;158;99;59;71;17;54
21;Prov. Jambi;3.57;3.168;402;2.462;2.336;126;681;557;124;231;160;71;178;103;75;18;12;6
22;Prov. Sulawesi Utara;3.39;2.063;1.327;2.232;1.378;854;719;470;249;224;119;105;188;90;98;27;6;21
23;Prov. Bali;3.214;2.725;489;2.448;2.319;129;419;266;153;159;78;81;174;51;123;14;11;3
24;Prov. Kalimantan Timur;3.007;2.323;684;1.886;1.656;230;645;434;211;220;137;83;222;87;135;34;9;25
25;Prov. Maluku;2.839;2.044;795;1.784;1.245;539;651;504;147;281;207;74;109;79;30;14;9;5
26;Prov. D.I. Yogyakarta;2.749;1.775;974;1.845;1.433;412;444;214;230;163;69;94;218;50;168;79;9;70
27;Prov. Maluku Utara;2.153;1.671;482;1.313;1.103;210;489;353;136;203;136;67;129;64;65;19;15;4
28;Prov. Bengkulu;2.063;1.866;197;1.38;1.302;78;421;378;43;140;109;31;105;64;41;17;13;4
29;Prov. Sulawesi Barat;1.947;1.758;189;1.327;1.3;27;370;311;59;88;75;13;137;59;78;25;13;12
30;Prov. Kepulauan Riau;1.581;1.043;538;946;684;262;365;229;136;143;88;55;110;34;76;17;8;9
31;Prov. Papua Barat;1.54;994;546;1.052;660;392;307;221;86;122;77;45;54;32;22;5;4;1
32;Prov. Gorontalo;1.405;1.337;68;942;919;23;335;314;21;64;56;8;56;40;16;8;8;0
33;Prov. Kepulauan Bangka Belitung;1.162;1.001;161;815;756;59;212;159;53;70;44;26;56;35;21;9;7;2
34;Prov. Kalimantan Utara;744;639;105;473;432;41;178;145;33;61;41;20;28;17;11;4;4;0
35;Luar Negeri;201;140;61;128;85;43;60;44;16;12;10;2;1;1;0;0;0;0
Total;Total;219.145;166.257;52.888;148.942;131.817;17.125;39.991;23.44;16.551;13.803;6.831;6.972;14.172;3.589;10.583;2.237;580;1.657
