Data Sekolah Nasional - Dapodikdasmen;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S
1;Prov. Jawa Barat;30.188;20.431;9.757;19.734;17.66;2.074;5.462;1.937;3.525;1.664;508;1.156;2.946;287;2.659;382;39;343
2;Prov. Jawa Timur;28.155;19.875;8.28;19.243;17.359;1.884;4.787;1.725;3.062;1.542;423;1.119;2.12;297;1.823;463;71;392
3;Prov. Jawa Tengah;24.984;20.184;4.8;18.976;17.778;1.198;3.361;1.77;1.591;868;360;508;1.589;237;1.352;190;39;151
4;Prov. Sumatera Utara;14.561;10.349;4.212;9.786;8.302;1.484;2.627;1.323;1.304;1.088;427;661;1.001;268;733;59;29;30
5;Prov. Sulawesi Selatan;9.259;7.945;1.314;6.469;6.156;313;1.682;1.262;420;580;336;244;442;168;274;86;23;63
6;Prov. Nusa Tenggara Timur;7.776;5.189;2.587;5.151;3.342;1.809;1.745;1.324;421;552;349;203;292;145;147;36;29;7
7;Prov. Banten;7.552;4.758;2.794;4.637;3.955;682;1.511;563;948;571;152;419;732;80;652;101;8;93
8;Prov. Lampung;7.129;5.428;1.701;4.734;4.368;366;1.381;701;680;504;239;265;483;109;374;27;11;16
9;Prov. Sumatera Selatan;6.987;5.646;1.341;4.688;4.296;392;1.366;896;470;594;326;268;305;114;191;34;14;20
10;Prov. Kalimantan Barat;6.433;5.54;893;4.426;4.151;275;1.322;1.005;317;441;264;177;222;107;115;22;13;9
11;Prov. Sumatera Barat;5.758;5.048;710;4.233;3.993;240;829;676;153;330;236;94;214;114;100;152;29;123
12;Prov. Riau;5.719;4.505;1.214;3.727;3.215;512;1.196;846;350;450;302;148;299;125;174;47;17;30
13;Prov. Aceh;5.494;4.81;684;3.495;3.339;156;1.173;895;278;532;396;136;217;150;67;77;30;47
14;Prov. Nusa Tenggara Barat;4.894;3.889;1.005;3.227;3.011;216;962;607;355;333;158;175;325;97;228;47;16;31
15;Prov. D.K.I. Jakarta;4.641;1.971;2.67;2.394;1.475;919;1.074;293;781;492;117;375;589;73;516;92;13;79
16;Prov. Sulawesi Tengah;4.196;3.696;500;2.908;2.671;237;848;727;121;224;175;49;187;105;82;29;18;11
17;Prov. Kalimantan Selatan;3.898;3.519;379;2.936;2.781;155;614;521;93;195;136;59;125;61;64;28;20;8
18;Prov. Kalimantan Tengah;3.875;3.423;452;2.638;2.428;210;836;701;135;240;181;59;137;94;43;24;19;5
19;Prov. Papua;3.685;2.357;1.328;2.588;1.628;960;711;502;209;238;140;98;138;80;58;10;7;3
20;Prov. Sulawesi Tenggara;3.624;3.293;331;2.321;2.249;72;765;688;77;299;238;61;164;101;63;75;17;58
21;Prov. Jambi;3.56;3.15;410;2.448;2.316;132;681;556;125;235;161;74;178;104;74;18;13;5
22;Prov. Sulawesi Utara;3.402;2.066;1.336;2.236;1.377;859;725;473;252;224;120;104;187;90;97;30;6;24
23;Prov. Bali;3.223;2.734;489;2.453;2.32;133;422;271;151;162;80;82;172;51;121;14;12;2
24;Prov. Kalimantan Timur;3.041;2.338;703;1.9;1.661;239;657;440;217;227;140;87;222;87;135;35;10;25
25;Prov. Maluku;2.858;2.073;785;1.791;1.26;531;658;514;144;282;209;73;113;81;32;14;9;5
26;Prov. D.I. Yogyakarta;2.749;1.773;976;1.844;1.431;413;443;214;229;163;69;94;220;50;170;79;9;70
27;Prov. Maluku Utara;2.174;1.677;497;1.314;1.107;207;494;355;139;208;137;71;139;63;76;19;15;4
28;Prov. Bengkulu;2.083;1.873;210;1.39;1.305;85;429;381;48;143;110;33;104;64;40;17;13;4
29;Prov. Sulawesi Barat;1.952;1.76;192;1.329;1.3;29;373;313;60;88;75;13;137;59;78;25;13;12
30;Prov. Kepulauan Riau;1.625;1.051;574;962;684;278;383;233;150;148;91;57;115;35;80;17;8;9
31;Prov. Papua Barat;1.564;1.01;554;1.072;675;397;310;222;88;123;77;46;54;32;22;5;4;1
32;Prov. Gorontalo;1.407;1.335;72;937;913;24;338;315;23;67;59;8;57;40;17;8;8;0
33;Prov. Kepulauan Bangka Belitung;1.17;1.005;165;817;757;60;215;161;54;71;44;27;58;36;22;9;7;2
34;Prov. Kalimantan Utara;754;648;106;478;435;43;180;148;32;62;42;20;29;18;11;5;5;0
35;Luar Negeri;204;140;64;129;85;44;61;44;17;13;10;3;1;1;0;0;0;0
Total;Total;220.574;166.489;54.085;149.411;131.783;17.628;40.621;23.602;17.019;13.953;6.887;7.066;14.313;3.623;10.69;2.276;594;1.682
