Data Sekolah Nasional - Dapodikdasmen;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S
1;Prov. Jawa Barat;30.059;20.456;9.603;19.717;17.692;2.025;5.378;1.931;3.447;1.649;508;1.141;2.934;286;2.648;381;39;342
2;Prov. Jawa Timur;28.106;19.917;8.189;19.255;17.402;1.853;4.758;1.725;3.033;1.541;423;1.118;2.1;296;1.804;452;71;381
3;Prov. Jawa Tengah;25.009;20.252;4.757;19.023;17.846;1.177;3.344;1.77;1.574;866;360;506;1.587;237;1.35;189;39;150
4;Prov. Sumatera Utara;14.485;10.339;4.146;9.74;8.296;1.444;2.596;1.321;1.275;1.09;425;665;1.002;268;734;57;29;28
5;Prov. Sulawesi Selatan;9.24;7.942;1.298;6.456;6.154;302;1.674;1.261;413;587;336;251;438;168;270;85;23;62
6;Prov. Nusa Tenggara Timur;7.72;5.15;2.57;5.123;3.322;1.801;1.725;1.31;415;549;346;203;288;144;144;35;28;7
7;Prov. Banten;7.495;4.751;2.744;4.628;3.955;673;1.486;558;928;557;151;406;727;80;647;97;7;90
8;Prov. Lampung;7.089;5.414;1.675;4.699;4.354;345;1.369;701;668;503;239;264;491;109;382;27;11;16
9;Prov. Sumatera Selatan;6.964;5.641;1.323;4.678;4.296;382;1.355;893;462;591;324;267;306;114;192;34;14;20
10;Prov. Kalimantan Barat;6.426;5.533;893;4.421;4.147;274;1.324;1.003;321;438;264;174;221;106;115;22;13;9
11;Prov. Sumatera Barat;5.732;5.042;690;4.22;3.989;231;818;675;143;330;236;94;213;113;100;151;29;122
12;Prov. Riau;5.684;4.5;1.184;3.709;3.216;493;1.186;842;344;447;300;147;297;125;172;45;17;28
13;Prov. Aceh;5.458;4.805;653;3.481;3.336;145;1.157;894;263;530;397;133;216;149;67;74;29;45
14;Prov. Nusa Tenggara Barat;4.846;3.886;960;3.211;3.009;202;939;607;332;330;158;172;321;96;225;45;16;29
15;Prov. D.K.I. Jakarta;4.633;1.968;2.665;2.397;1.482;915;1.073;293;780;492;117;375;580;63;517;91;13;78
16;Prov. Sulawesi Tengah;4.184;3.688;496;2.902;2.666;236;843;725;118;223;175;48;188;104;84;28;18;10
17;Prov. Kalimantan Tengah;3.883;3.427;456;2.642;2.432;210;837;700;137;242;181;61;138;95;43;24;19;5
18;Prov. Kalimantan Selatan;3.882;3.512;370;2.926;2.777;149;608;520;88;194;135;59;123;61;62;31;19;12
19;Prov. Papua;3.643;2.331;1.312;2.562;1.608;954;698;498;200;235;139;96;138;80;58;10;6;4
20;Prov. Sulawesi Tenggara;3.604;3.289;315;2.318;2.25;68;761;688;73;293;235;58;160;99;61;72;17;55
21;Prov. Jambi;3.575;3.171;404;2.465;2.338;127;679;555;124;234;161;73;179;104;75;18;13;5
22;Prov. Sulawesi Utara;3.397;2.063;1.334;2.233;1.376;857;722;472;250;224;119;105;188;90;98;30;6;24
23;Prov. Bali;3.219;2.727;492;2.449;2.319;130;420;268;152;161;78;83;175;51;124;14;11;3
24;Prov. Kalimantan Timur;3.031;2.334;697;1.898;1.662;236;652;436;216;224;139;85;222;87;135;35;10;25
25;Prov. Maluku;2.845;2.057;788;1.786;1.251;535;655;511;144;281;207;74;109;79;30;14;9;5
26;Prov. D.I. Yogyakarta;2.751;1.775;976;1.848;1.433;415;443;214;229;163;69;94;218;50;168;79;9;70
27;Prov. Maluku Utara;2.164;1.679;485;1.314;1.108;206;492;355;137;206;137;69;133;64;69;19;15;4
28;Prov. Bengkulu;2.069;1.87;199;1.385;1.305;80;421;378;43;141;110;31;105;64;41;17;13;4
29;Prov. Sulawesi Barat;1.953;1.762;191;1.331;1.302;29;373;313;60;88;75;13;136;59;77;25;13;12
30;Prov. Kepulauan Riau;1.6;1.044;556;957;684;273;370;229;141;145;88;57;111;35;76;17;8;9
31;Prov. Papua Barat;1.549;999;550;1.06;666;394;308;220;88;122;77;45;54;32;22;5;4;1
32;Prov. Gorontalo;1.413;1.34;73;943;920;23;339;315;24;66;57;9;57;40;17;8;8;0
33;Prov. Kepulauan Bangka Belitung;1.166;1.003;163;816;757;59;215;160;55;70;44;26;56;35;21;9;7;2
34;Prov. Kalimantan Utara;745;641;104;473;432;41;178;145;33;61;42;19;29;18;11;4;4;0
35;Luar Negeri;201;140;61;128;85;43;60;44;16;12;10;2;1;1;0;0;0;0
Total;Total;219.82;166.448;53.372;149.194;131.867;17.327;40.256;23.53;16.726;13.885;6.862;7.023;14.241;3.602;10.639;2.244;587;1.657
