Data Sekolah Nasional - Dapodikdasmen;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S
1;Prop. Jawa Barat;29.033;20.932;8.101;19.897;18.218;1.679;4.909;1.962;2.947;1.525;477;1.048;2.681;275;2.406;21;0;21
2;Prop. Jawa Timur;27.495;20.217;7.278;19.398;17.742;1.656;4.492;1.713;2.779;1.498;421;1.077;1.909;290;1.619;198;51;147
3;Prop. Jawa Tengah;24.853;20.439;4.414;19.129;18.058;1.071;3.255;1.764;1.491;861;364;497;1.558;235;1.323;50;18;32
4;Prop. Sumatera Utara;14.111;10.28;3.831;9.604;8.309;1.295;2.476;1.289;1.187;1.047;409;638;964;258;706;20;15;5
5;Prop. Sulawesi Selatan;9.026;7.852;1.174;6.393;6.131;262;1.615;1.228;387;572;328;244;433;161;272;13;4;9
6;Prop. Nusa Tenggara Timur;7.363;4.874;2.489;5.014;3.236;1.778;1.573;1.176;397;493;311;182;272;143;129;11;8;3
7;Prop. Banten;7.122;4.715;2.407;4.558;3.959;599;1.383;534;849;517;147;370;643;74;569;21;1;20
8;Prop. Lampung;6.88;5.356;1.524;4.64;4.357;283;1.329;679;650;472;222;250;435;98;337;4;0;4
9;Prop. Sumatera Selatan;6.801;5.595;1.206;4.656;4.318;338;1.278;853;425;586;318;268;275;106;169;6;0;6
10;Prop. Kalimantan Barat;6.208;5.406;802;4.363;4.121;242;1.257;950;307;397;234;163;187;97;90;4;4;0
11;Prop. Sumatera Barat;5.464;4.957;507;4.138;3.958;180;781;660;121;308;219;89;203;107;96;34;13;21
12;Prop. Riau;5.426;4.379;1.047;3.612;3.181;431;1.102;802;300;421;281;140;277;113;164;14;2;12
13;Prop. Aceh;5.206;4.703;503;3.415;3.307;108;1.061;860;201;497;382;115;196;138;58;37;16;21
14;Prop. D.K.I. Jakarta;4.997;2.33;2.667;2.786;1.859;927;1.114;291;823;492;117;375;596;63;533;9;0;9
15;Prop. Nusa Tenggara Barat;4.608;3.843;765;3.158;3.005;153;850;597;253;303;151;152;287;88;199;10;2;8
16;Prop. Sulawesi Tengah;4.055;3.591;464;2.865;2.641;224;812;700;112;200;155;45;174;93;81;4;2;2
17;Prop. Kalimantan Selatan;3.822;3.487;335;2.907;2.776;131;590;512;78;186;133;53;120;58;62;19;8;11
18;Prop. Kalimantan Tengah;3.78;3.349;431;2.615;2.42;195;793;661;132;234;172;62;132;90;42;6;6;0
19;Prop. Sulawesi Tenggara;3.476;3.23;246;2.3;2.248;52;709;648;61;284;230;54;150;95;55;33;9;24
20;Prop. Papua;3.473;2.236;1.237;2.493;1.575;918;627;457;170;223;129;94;124;71;53;6;4;2
21;Prop. Jambi;3.472;3.122;350;2.441;2.329;112;638;545;93;218;148;70;167;92;75;8;8;0
22;Prop. Sulawesi Utara;3.326;2.026;1.3;2.22;1.369;851;705;462;243;216;111;105;177;81;96;8;3;5
23;Prop. Bali;3.194;2.708;486;2.447;2.327;120;408;252;156;164;78;86;175;51;124;0;0;0
24;Prop. Kalimantan Timur;2.887;2.29;597;1.848;1.653;195;606;420;186;216;135;81;213;82;131;4;0;4
25;Prop. Maluku;2.745;1.947;798;1.761;1.221;540;607;459;148;265;190;75;109;75;34;3;2;1
26;Prop. D.I. Yogyakarta;2.664;1.776;888;1.845;1.443;402;435;214;221;164;69;95;220;50;170;0;0;0
27;Prop. Maluku Utara;2.068;1.61;458;1.301;1.095;206;462;331;131;183;121;62;115;58;57;7;5;2
28;Prop. Bengkulu;2.005;1.842;163;1.366;1.305;61;415;374;41;132;101;31;89;61;28;3;1;2
29;Prop. Sulawesi Barat;1.863;1.709;154;1.318;1.296;22;338;292;46;78;64;14;125;54;71;4;3;1
30;Prop. Papua Barat;1.468;929;539;1.019;622;397;275;201;74;120;73;47;51;31;20;3;2;1
31;Prop. Kepulauan Riau;1.445;1.002;443;909;686;223;320;206;114;119;80;39;93;29;64;4;1;3
32;Prop. Gorontalo;1.366;1.31;56;931;911;20;323;309;14;58;51;7;54;39;15;0;0;0
33;Prop. Bangka Belitung;1.124;986;138;801;754;47;201;156;45;66;42;24;55;34;21;1;0;1
34;Prop. Kalimantan Utara;698;614;84;455;422;33;158;136;22;57;39;18;28;17;11;0;0;0
35;Luar Negeri;152;40;112;86;30;56;54;9;45;12;1;11;0;0;0;0;0;0
Total;Total;213.676;165.682;47.994;148.689;132.882;15.807;37.951;22.702;15.249;13.184;6.503;6.681;13.287;3.407;9.88;565;188;377
