Data Sekolah Nasional - Dapodikdasmen;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S
1;Prov. Jawa Barat;29.861;20.567;9.294;19.65;17.744;1.906;5.28;1.994;3.286;1.623;502;1.121;2.928;287;2.641;380;40;340
2;Prov. Jawa Timur;28.161;20.112;8.049;19.377;17.599;1.778;4.682;1.724;2.958;1.544;423;1.121;2.078;295;1.783;480;71;409
3;Prov. Jawa Tengah;25.021;20.324;4.697;19.059;17.916;1.143;3.319;1.771;1.548;868;361;507;1.589;237;1.352;186;39;147
4;Prov. Sumatera Utara;14.373;10.331;4.042;9.688;8.298;1.39;2.559;1.313;1.246;1.076;424;652;995;268;727;55;28;27
5;Prov. Sulawesi Selatan;9.218;7.935;1.283;6.444;6.158;286;1.657;1.249;408;588;336;252;442;168;274;87;24;63
6;Prov. Nusa Tenggara Timur;7.62;5.07;2.55;5.084;3.291;1.793;1.67;1.266;404;536;336;200;287;147;140;43;30;13
7;Prov. Banten;7.403;4.735;2.668;4.602;3.956;646;1.452;549;903;548;148;400;704;75;629;97;7;90
8;Prov. Lampung;7.057;5.411;1.646;4.694;4.369;325;1.363;691;672;489;233;256;486;107;379;25;11;14
9;Prov. Sumatera Selatan;6.945;5.632;1.313;4.673;4.301;372;1.34;880;460;597;325;272;302;113;189;33;13;20
10;Prov. Kalimantan Barat;6.393;5.519;874;4.402;4.141;261;1.32;999;321;434;261;173;216;105;111;21;13;8
11;Prov. Sumatera Barat;5.663;5.013;650;4.175;3.968;207;801;672;129;326;231;95;213;111;102;148;31;117
12;Prov. Riau;5.639;4.487;1.152;3.687;3.211;476;1.162;838;324;447;300;147;297;121;176;46;17;29
13;Prov. Aceh;5.417;4.797;620;3.469;3.334;135;1.137;891;246;524;396;128;214;148;66;73;28;45
14;Prov. Nusa Tenggara Barat;4.781;3.872;909;3.189;3.006;183;916;604;312;317;156;161;315;90;225;44;16;28
15;Prov. D.K.I. Jakarta;4.688;2.017;2.671;2.452;1.537;915;1.075;292;783;492;117;375;583;63;520;86;8;78
16;Prov. Sulawesi Tengah;4.161;3.678;483;2.893;2.661;232;841;725;116;217;173;44;184;100;84;26;19;7
17;Prov. Kalimantan Selatan;3.868;3.506;362;2.916;2.773;143;600;519;81;191;135;56;123;61;62;38;18;20
18;Prov. Kalimantan Tengah;3.863;3.422;441;2.633;2.433;200;832;698;134;241;182;59;134;90;44;23;19;4
19;Prov. Papua;3.607;2.316;1.291;2.55;1.61;940;673;481;192;233;136;97;138;80;58;13;9;4
20;Prov. Sulawesi Tenggara;3.597;3.293;304;2.321;2.257;64;756;684;72;293;235;58;158;99;59;69;18;51
21;Prov. Jambi;3.553;3.165;388;2.458;2.336;122;676;559;117;225;156;69;176;102;74;18;12;6
22;Prov. Sulawesi Utara;3.391;2.056;1.335;2.228;1.373;855;719;469;250;227;119;108;190;89;101;27;6;21
23;Prov. Bali;3.208;2.723;485;2.45;2.324;126;409;259;150;159;78;81;176;51;125;14;11;3
24;Prov. Kalimantan Timur;2.987;2.32;667;1.878;1.656;222;637;432;205;218;137;81;219;86;133;35;9;26
25;Prov. Maluku;2.833;2.037;796;1.783;1.243;540;644;500;144;280;206;74;113;80;33;13;8;5
26;Prov. D.I. Yogyakarta;2.749;1.78;969;1.846;1.438;408;441;214;227;165;69;96;218;50;168;79;9;70
27;Prov. Maluku Utara;2.139;1.666;473;1.31;1.104;206;481;350;131;200;132;68;127;64;63;21;16;5
28;Prov. Bengkulu;2.067;1.874;193;1.385;1.309;76;423;380;43;139;108;31;103;64;39;17;13;4
29;Prov. Sulawesi Barat;1.943;1.757;186;1.327;1.302;25;364;309;55;89;75;14;138;58;80;25;13;12
30;Prov. Kepulauan Riau;1.562;1.034;528;940;687;253;356;222;134;138;84;54;112;34;78;16;7;9
31;Prov. Papua Barat;1.513;964;549;1.039;637;402;296;216;80;121;76;45;52;31;21;5;4;1
32;Prov. Gorontalo;1.397;1.336;61;940;919;21;333;314;19;61;55;6;55;40;15;8;8;0
33;Prov. Kepulauan Bangka Belitung;1.153;997;156;811;754;57;211;159;52;68;43;25;54;34;20;9;7;2
34;Prov. Kalimantan Utara;736;638;98;468;431;37;176;144;32;59;41;18;29;18;11;4;4;0
35;Luar Negeri;196;30;166;122;13;109;60;9;51;13;8;5;1;0;1;0;0;0
Total;Total;218.763;166.414;52.349;148.943;132.089;16.854;39.661;23.376;16.285;13.746;6.797;6.949;14.149;3.566;10.583;2.264;586;1.678
