Data Sekolah Nasional - Dapodikdasmen;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S
1;Prov. Jawa Barat;30.12;20.36;9.76;19.682;17.589;2.093;5.466;1.938;3.528;1.66;507;1.153;2.929;287;2.642;383;39;344
2;Prov. Jawa Timur;28.041;19.818;8.223;19.194;17.302;1.892;4.785;1.725;3.06;1.523;423;1.1;2.1;297;1.803;439;71;368
3;Prov. Jawa Tengah;24.925;20.124;4.801;18.92;17.718;1.202;3.359;1.77;1.589;867;360;507;1.59;237;1.353;189;39;150
4;Prov. Sumatera Utara;14.451;10.324;4.127;9.764;8.285;1.479;2.612;1.322;1.29;1.052;424;628;966;265;701;57;28;29
5;Prov. Sulawesi Selatan;9.228;7.922;1.306;6.448;6.133;315;1.681;1.262;419;580;336;244;433;168;265;86;23;63
6;Prov. Nusa Tenggara Timur;7.78;5.192;2.588;5.154;3.345;1.809;1.746;1.324;422;552;349;203;292;145;147;36;29;7
7;Prov. Banten;7.557;4.759;2.798;4.637;3.955;682;1.513;564;949;574;152;422;732;80;652;101;8;93
8;Prov. Lampung;7.104;5.417;1.687;4.72;4.357;363;1.369;701;668;506;239;267;482;109;373;27;11;16
9;Prov. Sumatera Selatan;6.987;5.647;1.34;4.692;4.295;397;1.369;897;472;593;327;266;299;114;185;34;14;20
10;Prov. Kalimantan Barat;6.417;5.519;898;4.404;4.129;275;1.325;1.006;319;444;264;180;222;107;115;22;13;9
11;Prov. Sumatera Barat;5.761;5.042;719;4.231;3.987;244;832;676;156;330;236;94;214;114;100;154;29;125
12;Prov. Riau;5.734;4.511;1.223;3.734;3.216;518;1.201;849;352;453;303;150;299;126;173;47;17;30
13;Prov. Aceh;5.489;4.811;678;3.496;3.341;155;1.173;895;278;527;396;131;216;150;66;77;29;48
14;Prov. Nusa Tenggara Barat;4.895;3.89;1.005;3.229;3.011;218;965;607;358;330;159;171;323;97;226;48;16;32
15;Prov. D.K.I. Jakarta;4.598;1.945;2.653;2.364;1.449;915;1.069;293;776;492;117;375;581;73;508;92;13;79
16;Prov. Sulawesi Tengah;4.194;3.694;500;2.91;2.67;240;847;726;121;224;175;49;184;105;79;29;18;11
17;Prov. Kalimantan Selatan;3.886;3.508;378;2.926;2.77;156;614;521;93;195;136;59;124;61;63;27;20;7
18;Prov. Kalimantan Tengah;3.868;3.42;448;2.636;2.425;211;831;701;130;240;181;59;137;94;43;24;19;5
19;Prov. Papua;3.687;2.358;1.329;2.588;1.628;960;712;503;209;239;140;99;138;80;58;10;7;3
20;Prov. Sulawesi Tenggara;3.622;3.294;328;2.322;2.25;72;765;688;77;296;238;58;163;101;62;76;17;59
21;Prov. Jambi;3.563;3.149;414;2.451;2.315;136;681;556;125;236;161;75;177;104;73;18;13;5
22;Prov. Sulawesi Utara;3.398;2.065;1.333;2.231;1.376;855;725;473;252;224;120;104;188;90;98;30;6;24
23;Prov. Bali;3.219;2.73;489;2.45;2.315;135;419;271;148;162;80;82;174;52;122;14;12;2
24;Prov. Kalimantan Timur;3.03;2.329;701;1.89;1.652;238;654;440;214;227;140;87;223;87;136;36;10;26
25;Prov. Maluku;2.859;2.074;785;1.791;1.26;531;659;515;144;282;209;73;113;81;32;14;9;5
26;Prov. D.I. Yogyakarta;2.748;1.77;978;1.843;1.428;415;443;214;229;163;69;94;220;50;170;79;9;70
27;Prov. Maluku Utara;2.175;1.677;498;1.314;1.107;207;494;355;139;209;137;72;139;63;76;19;15;4
28;Prov. Bengkulu;2.084;1.872;212;1.391;1.304;87;429;381;48;142;110;32;105;64;41;17;13;4
29;Prov. Sulawesi Barat;1.95;1.761;189;1.329;1.3;29;374;314;60;88;75;13;134;59;75;25;13;12
30;Prov. Kepulauan Riau;1.63;1.051;579;965;684;281;384;233;151;149;91;58;115;35;80;17;8;9
31;Prov. Papua Barat;1.567;1.01;557;1.073;675;398;310;222;88;124;77;47;55;32;23;5;4;1
32;Prov. Gorontalo;1.402;1.329;73;934;908;26;336;313;23;68;60;8;56;40;16;8;8;0
33;Prov. Kepulauan Bangka Belitung;1.171;1.005;166;817;757;60;216;161;55;71;44;27;58;36;22;9;7;2
34;Prov. Kalimantan Utara;754;649;105;478;435;43;180;149;31;62;42;20;29;18;11;5;5;0
35;Luar Negeri;204;142;62;129;86;43;61;45;16;13;10;3;1;1;0;0;0;0
Total;Total;220.098;166.168;53.93;149.137;131.457;17.68;40.599;23.61;16.989;13.897;6.887;7.01;14.211;3.622;10.589;2.254;592;1.662
