Data Sekolah Nasional - Dapodikdasmen;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S
1;Prop. Jawa Barat;29.804;20.918;8.886;19.917;18.139;1.778;5.068;1.975;3.093;1.579;486;1.093;2.858;280;2.578;382;38;344
2;Prop. Jawa Timur;27.959;20.201;7.758;19.407;17.693;1.714;4.601;1.723;2.878;1.525;422;1.103;1.975;293;1.682;451;70;381
3;Prop. Jawa Tengah;24.957;20.361;4.596;19.053;17.95;1.103;3.288;1.771;1.517;865;364;501;1.569;237;1.332;182;39;143
4;Prop. Sumatera Utara;14.242;10.322;3.92;9.637;8.301;1.336;2.511;1.304;1.207;1.064;424;640;979;266;713;51;27;24
5;Prop. Sulawesi Selatan;9.175;7.918;1.257;6.419;6.147;272;1.642;1.244;398;585;336;249;443;167;276;86;24;62
6;Prop. Nusa Tenggara Timur;7.515;4.997;2.518;5.052;3.266;1.786;1.626;1.225;401;512;326;186;279;147;132;46;33;13
7;Prop. Banten;7.272;4.717;2.555;4.565;3.952;613;1.417;535;882;534;148;386;666;75;591;90;7;83
8;Prop. Lampung;6.967;5.393;1.574;4.664;4.366;298;1.335;685;650;486;229;257;459;104;355;23;9;14
9;Prop. Sumatera Selatan;6.889;5.624;1.265;4.662;4.308;354;1.302;868;434;596;322;274;295;113;182;34;13;21
10;Prop. Kalimantan Barat;6.28;5.457;823;4.372;4.123;249;1.281;972;309;411;249;162;195;100;95;21;13;8
11;Prop. Sumatera Barat;5.634;5.004;630;4.159;3.966;193;795;668;127;322;229;93;210;110;100;148;31;117
12;Prop. Riau;5.546;4.428;1.118;3.644;3.186;458;1.136;821;315;436;290;146;288;116;172;42;15;27
13;Prop. Aceh;5.335;4.765;570;3.445;3.322;123;1.103;880;223;518;396;122;204;144;60;65;23;42
14;Prop. D.K.I. Jakarta;4.78;2.05;2.73;2.505;1.57;935;1.113;292;821;490;117;373;585;63;522;87;8;79
15;Prop. Nusa Tenggara Barat;4.717;3.866;851;3.172;3.005;167;891;602;289;314;154;160;298;89;209;42;16;26
16;Prop. Sulawesi Tengah;4.135;3.663;472;2.889;2.658;231;834;723;111;213;168;45;178;98;80;21;16;5
17;Prop. Kalimantan Selatan;3.851;3.502;349;2.909;2.775;134;595;516;79;186;133;53;123;61;62;38;17;21
18;Prop. Kalimantan Tengah;3.834;3.399;435;2.623;2.429;194;817;684;133;238;176;62;133;91;42;23;19;4
19;Prop. Sulawesi Tenggara;3.556;3.274;282;2.307;2.251;56;742;678;64;287;231;56;156;98;58;64;16;48
20;Prop. Papua;3.54;2.285;1.255;2.514;1.59;924;653;476;177;230;136;94;131;75;56;12;8;4
21;Prop. Jambi;3.518;3.15;368;2.452;2.333;119;655;552;103;222;153;69;171;99;72;18;13;5
22;Prop. Sulawesi Utara;3.368;2.044;1.324;2.224;1.371;853;712;465;247;223;116;107;185;86;99;24;6;18
23;Prop. Bali;3.21;2.723;487;2.448;2.327;121;405;254;151;162;78;84;179;51;128;16;13;3
24;Prop. Kalimantan Timur;2.951;2.31;641;1.864;1.654;210;621;427;194;216;135;81;219;85;134;31;9;22
25;Prop. Maluku;2.809;2.02;789;1.773;1.237;536;634;492;142;276;204;72;113;79;34;13;8;5
26;Prop. D.I. Yogyakarta;2.743;1.783;960;1.847;1.441;406;435;214;221;164;69;95;219;50;169;78;9;69
27;Prop. Maluku Utara;2.11;1.653;457;1.31;1.105;205;472;344;128;189;128;61;118;60;58;21;16;5
28;Prop. Bengkulu;2.034;1.867;167;1.372;1.31;62;418;377;41;136;105;31;93;63;30;15;12;3
29;Prop. Sulawesi Barat;1.923;1.749;174;1.324;1.302;22;355;304;51;87;74;13;134;57;77;23;12;11
30;Prop. Kepulauan Riau;1.499;1.02;479;919;684;235;343;220;123;125;81;44;98;30;68;14;5;9
31;Prop. Papua Barat;1.493;947;546;1.027;628;399;289;211;78;120;73;47;52;31;21;5;4;1
32;Prop. Gorontalo;1.384;1.327;57;933;912;21;326;312;14;61;55;6;56;40;16;8;8;0
33;Prop. Bangka Belitung;1.145;997;148;806;754;52;209;159;50;67;43;24;54;34;20;9;7;2
34;Prop. Kalimantan Utara;721;632;89;462;428;34;167;140;27;59;42;17;29;18;11;4;4;0
35;Luar Negeri;199;36;163;120;26;94;66;8;58;13;2;11;0;0;0;0;0;0
Total;Total;217.095;166.402;50.693;148.796;132.509;16.287;38.857;23.121;15.736;13.511;6.694;6.817;13.744;3.51;10.234;2.187;568;1.619
