Data Sekolah Nasional - Dapodikdasmen;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S
1;Prov. Jawa Barat;29.717;20.574;9.143;19.607;17.753;1.854;5.223;1.998;3.225;1.61;500;1.11;2.897;283;2.614;380;40;340
2;Prov. Jawa Timur;28.065;20.115;7.95;19.352;17.603;1.749;4.659;1.725;2.934;1.545;423;1.122;2.038;295;1.743;471;69;402
3;Prov. Jawa Tengah;24.997;20.33;4.667;19.048;17.92;1.128;3.31;1.771;1.539;868;363;505;1.586;237;1.349;185;39;146
4;Prov. Sumatera Utara;14.336;10.328;4.008;9.672;8.301;1.371;2.554;1.31;1.244;1.072;424;648;986;266;720;52;27;25
5;Prov. Sulawesi Selatan;9.208;7.932;1.276;6.439;6.157;282;1.653;1.249;404;586;335;251;443;167;276;87;24;63
6;Prov. Nusa Tenggara Timur;7.589;5.048;2.541;5.073;3.283;1.79;1.66;1.254;406;526;332;194;286;148;138;44;31;13
7;Prov. Banten;7.362;4.735;2.627;4.589;3.957;632;1.443;548;895;545;148;397;692;75;617;93;7;86
8;Prov. Lampung;7.033;5.41;1.623;4.683;4.369;314;1.354;690;664;492;233;259;479;107;372;25;11;14
9;Prov. Sumatera Selatan;6.941;5.645;1.296;4.681;4.317;364;1.327;877;450;600;325;275;301;113;188;32;13;19
10;Prov. Kalimantan Barat;6.358;5.509;849;4.396;4.141;255;1.311;993;318;425;259;166;205;103;102;21;13;8
11;Prov. Sumatera Barat;5.653;5.012;641;4.168;3.967;201;800;672;128;325;231;94;212;111;101;148;31;117
12;Prov. Riau;5.605;4.468;1.137;3.669;3.201;468;1.153;835;318;443;296;147;294;119;175;46;17;29
13;Prov. Aceh;5.395;4.789;606;3.462;3.331;131;1.127;887;240;522;396;126;212;147;65;72;28;44
14;Prov. Nusa Tenggara Barat;4.748;3.869;879;3.181;3.005;176;909;604;305;315;156;159;301;89;212;42;15;27
15;Prov. D.K.I. Jakarta;4.687;2.02;2.667;2.452;1.54;912;1.074;292;782;491;117;374;583;63;520;87;8;79
16;Prov. Sulawesi Tengah;4.148;3.671;477;2.89;2.661;229;839;724;115;214;170;44;182;99;83;23;17;6
17;Prov. Kalimantan Selatan;3.863;3.504;359;2.914;2.774;140;599;518;81;189;134;55;123;61;62;38;17;21
18;Prov. Kalimantan Tengah;3.853;3.417;436;2.631;2.434;197;826;693;133;239;181;58;134;90;44;23;19;4
19;Prov. Papua;3.592;2.312;1.28;2.538;1.604;934;670;482;188;234;138;96;137;79;58;13;9;4
20;Prov. Sulawesi Tenggara;3.583;3.286;297;2.316;2.255;61;752;682;70;289;232;57;158;99;59;68;18;50
21;Prov. Jambi;3.545;3.161;384;2.457;2.335;122;671;557;114;224;155;69;174;101;73;19;13;6
22;Prov. Sulawesi Utara;3.386;2.055;1.331;2.228;1.375;853;716;467;249;227;119;108;189;88;101;26;6;20
23;Prov. Bali;3.199;2.718;481;2.446;2.323;123;404;255;149;159;78;81;176;51;125;14;11;3
24;Prov. Kalimantan Timur;2.977;2.315;662;1.874;1.654;220;634;431;203;215;135;80;219;86;133;35;9;26
25;Prov. Maluku;2.822;2.029;793;1.778;1.239;539;641;498;143;277;204;73;113;80;33;13;8;5
26;Prov. D.I. Yogyakarta;2.748;1.78;968;1.845;1.438;407;441;214;227;166;69;97;217;50;167;79;9;70
27;Prov. Maluku Utara;2.134;1.667;467;1.312;1.107;205;480;349;131;196;132;64;125;63;62;21;16;5
28;Prov. Bengkulu;2.058;1.873;185;1.38;1.307;73;423;381;42;139;108;31;99;64;35;17;13;4
29;Prov. Sulawesi Barat;1.942;1.759;183;1.332;1.308;24;362;307;55;88;74;14;136;58;78;24;12;12
30;Prov. Kepulauan Riau;1.534;1.027;507;937;686;251;353;222;131;132;83;49;97;30;67;15;6;9
31;Prov. Papua Barat;1.506;958;548;1.033;632;401;296;216;80;120;75;45;52;31;21;5;4;1
32;Prov. Gorontalo;1.398;1.336;62;940;919;21;333;314;19;61;55;6;56;40;16;8;8;0
33;Prov. Bangka Belitung;1.15;997;153;810;754;56;210;159;51;67;43;24;54;34;20;9;7;2
34;Prov. Kalimantan Utara;727;637;90;465;430;35;170;144;26;59;41;18;29;18;11;4;4;0
35;Luar Negeri;197;39;158;123;22;101;61;9;52;13;8;5;0;0;0;0;0;0
Total;Total;218.056;166.325;51.731;148.721;132.102;16.619;39.438;23.327;16.111;13.673;6.772;6.901;13.985;3.545;10.44;2.239;579;1.66
