Provinsi;2011;;;2012;;;2013;;;2014;;;2015;;;2016;;;2017;;;2018;;;2019;;
;Persentase Penduduk Buta Huruf (Persen);;;Persentase Penduduk Buta Huruf (Persen);;;Persentase Penduduk Buta Huruf (Persen);;;Persentase Penduduk Buta Huruf (Persen);;;Persentase Penduduk Buta Huruf (Persen);;;Persentase Penduduk Buta Huruf (Persen);;;Persentase Penduduk Buta Huruf (Persen);;;Persentase Penduduk Buta Huruf (Persen);;;Persentase Penduduk Buta Huruf (Persen);;
;15+;15-44;45+;15+;15-44;45+;15+;15-44;45+;15+;15-44;45+;15+;15-44;45+;15+;15-44;45+;15+;15-44;45+;15+;15-44;45+;15+;15-44;45+
SULAWESI UTARA;1.23;0.7;2.18;1.17;0.66;2.05;0.87;0.42;1.66;0.4;0.18;0.77;0.37;0.17;0.71;0.21;0.15;0.32;0.24;0.19;0.32;0.13;0.11;0.15;0.2;0.08;0.39
SULAWESI TENGAH;5.77;3.04;12.07;5.34;2.48;11.89;4.05;1.74;9.3;2.92;1.38;6.45;2.66;0.91;6.42;2.49;0.82;5.99;2.31;0.84;5.39;2.13;0.81;4.71;1.78;0.71;3.85
SULAWESI SELATAN;12.34;4.83;28;11.5;4.17;26.59;9.84;3.2;23.55;8.74;2.58;21.44;8.71;2.22;21.34;8.48;2.07;20.81;8.35;2.03;20.28;8.19;2.02;19.57;7.55;1.72;18.08
SULAWESI TENGGARA;9.21;3.15;25.12;8.82;2.84;24.74;7.39;2.05;21.38;5.97;1.62;17.1;5.9;1.37;17.07;5.75;1.19;16.8;5.68;1.14;16.41;5.54;1.08;15.71;5.09;0.94;14.3
GORONTALO;5.39;3.27;10.52;4.88;2.88;9.61;3.17;1.44;7.28;2.1;1.1;4.43;1.76;0.61;4.35;1.56;0.49;3.86;1.56;0.5;3.81;1.37;0.41;3.33;1.25;0.31;3.12
SULAWESI BARAT;12.25;6.45;27.72;11.07;5.86;25.21;9.21;4.73;21.23;7.73;3.93;17.66;7.36;3.33;17.37;7.25;3.06;17.36;7.21;3.16;16.77;7.15;3.29;16.23;6.41;2.31;15.65
MALUKU;3.41;1.94;6.94;2.91;1.62;6.06;2.17;1.3;4.22;1.23;0.81;2.21;1.15;0.8;1.96;1.06;0.76;1.75;0.87;0.77;1.09;0.78;0.76;0.84;0.61;0.55;0.74
MALUKU UTARA;4.21;1.89;10.62;3.65;1.52;9.65;2.63;1;7.07;1.64;0.57;4.67;1.51;0.47;4.28;1.33;0.36;3.83;1.32;0.41;3.62;1.24;0.29;3.57;1.21;0.27;3.5
PAPUA BARAT;7.42;5.37;14.03;6.38;4.53;12.42;4.41;2.93;9.21;3.25;2.27;6.36;3.12;2.09;6.32;2.95;1.97;5.77;2.84;1.94;5.55;2.63;1.83;4.86;2.28;1.53;4.34
PAPUA;35.47;34.55;38.89;34.7;33.4;39.61;32.69;31.44;37.22;29.22;28.5;31.85;29.17;28.47;31.57;28.98;28.21;31.41;26.11;24.66;30.46;23.21;21.2;29.02;22;20.21;27.11
INDONESIA;7.56;2.31;18.15;7.03;2.03;17.17;6.08;1.61;15.15;4.88;1.24;12.25;4.78;1.1;11.89;4.62;1;11.47;4.5;0.94;11.08;4.34;0.86;10.6;4.1;0.76;9.92
