Luas Daerah dan Jumlah Pulau Menurut Provinsi, 2002-2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Provinsi;Tahun;2000;;2002;;2003;;2004;;2005;;2006;;2007;;2009;;;2010;;;2012;;;;2013;;;;;2014;;;;;2015;;;;;2016;;;;
;Ibu Kota Provinsi;Luas 1;Persentase Terhadap Luas Indonesia;Luas 1;Persentase Terhadap Luas Indonesia;Luas 1;Persentase Terhadap Luas Indonesia;Luas 1;Persentase Terhadap Luas Indonesia;Luas 1;Persentase Terhadap Luas Indonesia;Luas 1;Persentase Terhadap Luas Indonesia;Luas 1;Persentase Terhadap Luas Indonesia;Luas 1;Persentase Terhadap Luas Indonesia;Jumlah Pulau 2;Luas 1;Persentase Terhadap Luas Indonesia;Jumlah Pulau 2;Luas 1;Persentase Terhadap Luas Indonesia;Jumlah Pulau 2;;Luas 1;;Persentase Terhadap Luas Indonesia;Jumlah Pulau 2;;Luas 1;;Persentase Terhadap Luas Indonesia;Jumlah Pulau 2;;Luas 1;;Persentase Terhadap Luas Indonesia;Jumlah Pulau 2;;Luas 1;;Persentase Terhadap Luas Indonesia;Jumlah Pulau 2;
DKI Jakarta;Jakarta; 664.00; 0.03; 664.00; 0.04; 664.00; 0.04; 740.29; 0.04; 740.29; 0.04; 740.29; 0.04; 664.01; 0.03; 664.01; 0.03; 218; 664.01; 0.03; 218; 664.01; 0.03; 218;; 664.01;; 0.03; 218;; 664.01;; 0.03; 218;; 664.01;; 0.03; 218;; 664.01;; 0.03; 218;
Jawa Barat;Bandung;43 177.00; 2.25;34 597.00; 1.83;34 597.00; 1.83;36 925.05; 1.98;36 925.05; 1.98;36 925.05; 1.98;35 377.76; 1.85;35 377.76; 1.85; 131;35 377.76; 1.85; 131;35 377.76; 1.85; 131;;35 377.76;; 1.85; 131;;35 377.76;; 1.85; 131;;35 377.76;; 1.85; 131;;35 377.76;; 1.85; 131;
Banten;Serang;;;8 651.00; 0.46;8 651.00; 0.46;9 018.64; 0.48;9 018.64; 0.48;9 018.64; 0.48;9 662.92; 0.51;9 662.92; 0.51; 131;9 662.92; 0.51; 131;9 662.92; 0.51; 131;;9 662.92;; 0.51; 131;;9 662.92;; 0.51; 131;;9 662.92;; 0.51; 131;;9 662.92;; 0.50; 131;
Jawa Tengah;Semarang;32 549.00; 1.69;32 549.00; 1.72;32 549.00; 1.72;32 799.71; 1.76;32 799.71; 1.76;32 799.71; 1.76;32 800.69; 1.72;32 800.69; 1.72; 296;32 800.69; 1.72; 296;32 800.69; 1.72; 296;;32 800.69;; 1.72; 296;;32 800.69;; 1.72; 296;;32 800.69;; 1.72; 296;;32 800.69;; 1.71; 296;
DI Yogyakarta;Yogyakarta;3 186.00; 0.17;3 186.00; 0.17;3 186.00; 0.17;3 133.15; 0.17;3 133.15; 0.17;3 133.15; 0.17;3 133.15; 0.16;3 133.15; 0.16; 23;3 133.15; 0.16; 23;3 133.15; 0.16; 23;;3 133.15;; 0.16; 23;;3 133.15;; 0.16; 23;;3 133.15;; 0.16; 23;;3 133.15;; 0.16; 23;
Jawa Timur;Surabaya;47 923.00; 2.49;47 922.00; 2.53;47 922.00; 2.53;46 689.64; 2.51;46 689.64; 2.51;46 689.64; 2.51;47 799.75; 2.50;47 799.75; 2.50; 287;47 799.75; 2.50; 287;47 799.75; 2.50; 287;;47 799.75;; 2.50; 287;;47 799.75;; 2.50; 287;;47 799.75;; 2.50; 287;;47 799.75;; 2.50; 287;
Bali;Denpasar;5 633.00; 0.29;5 633.00; 0.30;5 633.00; 0.30;5 449.37; 0.29;5 449.37; 0.29;5 449.37; 0.29;5 780.06; 0.30;5 780.06; 0.30; 85;5 780.06; 0.30; 85;5 780.06; 0.30; 85;;5 780.06;; 0.30; 85;;5 780.06;; 0.30; 85;;5 780.06;; 0.30; 85;;5 780.06;; 0.30; 85;
Nusa Tenggara Barat;Mataram;20 153.00; 1.05;20 153.00; 1.07;20 153.00; 1.07;19 708.79; 1.06;19 708.79; 1.06;19 708.79; 1.06;18 572.32; 0.97;18 572.32; 0.97; 864;18 572.32; 0.97; 864;18 572.32; 0.97; 864;;18 572.32;; 0.97; 864;;18 572.32;; 0.97; 864;;18 572.32;; 0.97; 864;;18 572.32;; 0.97; 864;
Nusa Tenggara Timur;Kupang;47 349.00; 2.46;47 351.00; 2.50;47 351.00; 2.50;46 137.87; 2.48;46 137.87; 2.48;46 137.87; 2.48;48 718.10; 2.55;48 718.10; 2.55;1 192;48 718.10; 2.55;1 192;48 718.10; 2.55;1 192;;48 718.10;; 2.55;1 192;;48 718.10;; 2.55;1 192;;48 718.10;; 2.55;1 192;;48 718.10;; 2.55;1 192;
Kalimantan Barat;Pontianak;146 807.00; 7.64;146 807.00; 7.76;146 807.00; 7.76;120 114.32; 6.46;120 114.32; 6.46;120 114.32; 6.46;147 307.00; 7.71;147 307.00; 7.71; 339;147 307.00; 7.71; 339;147 307.00; 7.71; 339;;147 307.00;; 7.71; 339;;147 307.00;; 7.71; 339;;147 307.00;; 7.71; 339;;147 307.00;; 7.70; 339;
