Data Peserta Didik Nasional - Dapodikdasmen;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Prov. Jawa Barat;8.034.519;4.155.775;3.878.744;4.449.450;2.305.012;2.144.438;1.760.244;898.904;861.34;709.414;313.426;395.988;1.091.588;624.257;467.331;23.823;14.176;9.647
2;Prov. Jawa Timur;5.288.233;2.764.746;2.523.487;2.757.478;1.434.259;1.323.219;1.221.359;637.645;583.714;533.128;232.137;300.991;756.046;448.624;307.422;20.222;12.081;8.141
3;Prov. Jawa Tengah;5.146.716;2.659.256;2.487.460;2.771.080;1.444.368;1.326.712;1.171.732;597.051;574.681;408.529;153.732;254.797;776.952;453.131;323.821;18.423;10.974;7.449
4;Prov. Sumatera Utara;2.986.166;1.536.400;1.449.766;1.650.604;858.343;792.261;655.05;334.297;320.753;369.678;164.904;204.774;305.833;175.842;129.991;5.001;3.014;1.987
5;Prov. Banten;2.051.990;1.063.866;988.124;1.179.076;613.074;566.002;420.765;216.797;203.968;190.577;86.914;103.663;255.746;143.5;112.246;5.826;3.581;2.245
6;Prov. Sulawesi Selatan;1.616.846;824.239;792.607;890.13;463.36;426.77;362.959;181.384;181.575;226.636;99.966;126.67;132.646;76.875;55.771;4.475;2.654;1.821
7;Prov. Sumatera Selatan;1.584.480;814.351;770.129;909.055;473.95;435.105;348.315;176.007;172.308;204.099;93.357;110.742;120.357;69.404;50.953;2.654;1.633;1.021
8;Prov. D.K.I. Jakarta;1.559.277;795.544;763.733;806.381;417.19;389.191;361.267;181.368;179.899;163.228;75.73;87.498;222.226;117.512;104.714;6.175;3.744;2.431
9;Prov. Lampung;1.443.996;743.925;700.071;831.13;433.214;397.916;314.193;159.659;154.534;150.862;66.718;84.144;145.758;83.138;62.62;2.053;1.196;857
10;Prov. Nusa Tenggara Timur;1.345.202;686.772;658.43;716.291;379.12;337.171;345.188;171.684;173.504;191.113;85.406;105.707;90.184;49.159;41.025;2.426;1.403;1.023
11;Prov. Riau;1.306.533;674.326;632.207;790.68;413.131;377.549;257.22;130.616;126.604;155.516;69.482;86.034;99.828;58.996;40.832;3.289;2.101;1.188
12;Prov. Sumatera Barat;1.072.442;550.503;521.939;621.171;326.204;294.967;209.228;106.314;102.914;145.772;61.447;84.325;89.47;52.235;37.235;6.801;4.303;2.498
13;Prov. Kalimantan Barat;1.011.283;519.053;492.23;579.849;304.387;275.462;230.05;115.169;114.881;126.643;59.017;67.626;73.23;39.529;33.701;1.511;951;560
14;Prov. Aceh;866.46;449.359;417.101;486.106;253.71;232.396;194.514;101.903;92.611;128.529;59.66;68.869;53.557;31.829;21.728;3.754;2.257;1.497
15;Prov. Nusa Tenggara Barat;857.325;449.382;407.943;507.356;264.937;242.419;171.413;89.152;82.261;100.159;48.031;52.128;75.088;45.338;29.75;3.309;1.924;1.385
16;Prov. Bali;776.453;404.769;371.684;396.814;206.151;190.663;189.033;98.495;90.538;89.215;44.447;44.768;99.182;54.321;44.861;2.209;1.355;854
17;Prov. Kalimantan Timur;724.061;375.229;348.832;411.357;214.367;196.99;157.5;80.605;76.895;75.036;33.425;41.611;77.655;45.142;32.513;2.513;1.69;823
18;Prov. Papua;653.663;356.351;297.312;431.551;234.174;197.377;124.008;67.727;56.281;64.041;33.548;30.493;33.383;20.485;12.898;680;417;263
19;Prov. Jambi;630.972;325.457;305.515;377.57;196.507;181.063;122.979;62.568;60.411;76.511;35.403;41.108;51.945;29.75;22.195;1.967;1.229;738
20;Prov. Kalimantan Selatan;617.384;321.24;296.144;374.681;195.495;179.186;114.699;59.051;55.648;67.185;31.444;35.741;58.399;33.715;24.684;2.42;1.535;885
21;Prov. D.I. Yogyakarta;568.574;294.069;274.505;290.848;150.79;140.058;128.507;66.195;62.312;55.94;23.449;32.491;88.076;50.498;37.578;5.203;3.137;2.066
22;Prov. Sulawesi Tengah;564.878;287.756;277.122;316.812;165.594;151.218;126.082;62.818;63.264;76.063;34.764;41.299;44.539;23.725;20.814;1.382;855;527
23;Prov. Sulawesi Tenggara;553.001;283.75;269.251;297.889;155.783;142.106;126.942;64.265;62.677;91.689;42.978;48.711;33.634;18.99;14.644;2.847;1.734;1.113
24;Prov. Kalimantan Tengah;483.077;250.295;232.782;280.644;147.368;133.276;107.283;54.558;52.725;58.909;27.872;31.037;35.084;19.793;15.291;1.157;704;453
25;Prov. Sulawesi Utara;445.802;229.486;216.316;219.485;115.146;104.339;112.41;57.379;55.031;62.284;29.78;32.504;50.127;26.286;23.841;1.496;895;601
26;Prov. Maluku;401.761;208.895;192.866;214.87;113.124;101.746;94.415;48.551;45.864;69.759;34.266;35.493;21.846;12.403;9.443;871;551;320
