Data Peserta Didik Nasional - Dapodikdasmen;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Prov. Jawa Barat;8.006.395;4.136.231;3.870.164;4.451.241;2.303.360;2.147.881;1.752.495;892.258;860.237;704.565;311.458;393.107;1.075.411;615.669;459.742;22.683;13.486;9.197
2;Prov. Jawa Timur;5.320.076;2.777.236;2.542.840;2.804.820;1.458.126;1.346.694;1.224.684;637.734;586.95;532.993;232.853;300.14;738.313;437.103;301.21;19.266;11.42;7.846
3;Prov. Jawa Tengah;5.181.044;2.673.433;2.507.611;2.818.035;1.468.023;1.350.012;1.171.361;594.989;576.372;404.748;152.809;251.939;769.327;447.198;322.129;17.573;10.414;7.159
4;Prov. Sumatera Utara;3.008.573;1.544.962;1.463.611;1.685.880;876.058;809.822;655.476;334.146;321.33;364.514;161.871;202.643;297.933;170.051;127.882;4.77;2.836;1.934
5;Prov. Banten;2.037.602;1.055.877;981.725;1.180.004;613.195;566.809;416.313;214.117;202.196;183.862;83.991;99.871;252.032;141.26;110.772;5.391;3.314;2.077
6;Prov. Sulawesi Selatan;1.639.494;834.942;804.552;907.328;471.776;435.552;368.901;184.712;184.189;228.784;100.608;128.176;130.042;75.222;54.82;4.439;2.624;1.815
7;Prov. Sumatera Selatan;1.587.663;814.98;772.683;919.219;478.834;440.385;349.461;175.953;173.508;202.308;92.632;109.676;114.223;66.03;48.193;2.452;1.531;921
8;Prov. D.K.I. Jakarta;1.554.733;792.743;761.99;802.279;415.12;387.159;357.748;180.224;177.524;166.278;77.168;89.11;222.74;116.773;105.967;5.688;3.458;2.23
9;Prov. Lampung;1.440.978;740.916;700.062;836.109;435.232;400.877;311.822;158.004;153.818;150.358;66.447;83.911;140.791;80.124;60.667;1.898;1.109;789
10;Prov. Nusa Tenggara Timur;1.348.524;687.435;661.089;738.368;389.896;348.472;338.946;167.571;171.375;186.219;83.212;103.007;82.556;45.354;37.202;2.435;1.402;1.033
11;Prov. Riau;1.298.157;668.68;629.477;788.853;411.709;377.144;258.62;130.89;127.73;152.796;68.345;84.451;94.777;55.761;39.016;3.111;1.975;1.136
12;Prov. Sumatera Barat;1.079.471;552.338;527.133;628.77;329.59;299.18;212.532;107.215;105.317;144.96;61.055;83.905;86.758;50.389;36.369;6.451;4.089;2.362
13;Prov. Kalimantan Barat;1.011.888;518.662;493.226;585.889;307.125;278.764;232.31;115.919;116.391;123.57;57.409;66.161;68.732;37.328;31.404;1.387;881;506
14;Prov. Aceh;867.787;449.894;417.893;487.263;254.498;232.765;190.21;99.584;90.626;132.842;61.083;71.759;54.031;32.666;21.365;3.441;2.063;1.378
