Data Peserta Didik Nasional - Dapodikdasmen;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Prop. Jawa Barat;7.955.423;4.099.610;3.855.813;4.516.470;2.336.543;2.179.927;1.793.318;912.955;880.363;642.702;277.187;365.515;981.656;560.36;421.296;21.277;12.565;8.712
2;Prop. Jawa Timur;5.371.261;2.805.612;2.565.649;2.870.566;1.495.424;1.375.142;1.262.106;657.106;605;521.486;229.686;291.8;699.285;412.866;286.419;17.818;10.53;7.288
3;Prop. Jawa Tengah;5.238.196;2.704.327;2.533.869;2.879.192;1.502.632;1.376.560;1.202.986;611.323;591.663;392.671;149.103;243.568;747.741;432.13;315.611;15.606;9.139;6.467
4;Prop. Sumatera Utara;3.068.583;1.575.746;1.492.837;1.754.492;912.52;841.972;662.286;338.028;324.258;360.768;160.323;200.445;286.797;162.361;124.436;4.24;2.514;1.726
5;Prop. Banten;2.046.860;1.060.893;985.967;1.198.214;622.081;576.133;427.187;220.622;206.565;179.037;82.109;96.928;237.467;133.061;104.406;4.955;3.02;1.935
6;Prop. Sulawesi Selatan;1.699.604;866.046;833.558;948.211;494.093;454.118;389.235;194.367;194.868;231.402;102.181;129.221;126.103;72.669;53.434;4.653;2.736;1.917
7;Prop. Sumatera Selatan;1.595.762;819.384;776.378;936.652;488.485;448.167;353.964;177.883;176.081;200.194;91.752;108.442;102.711;59.863;42.848;2.241;1.401;840
8;Prop. D.K.I. Jakarta;1.567.107;798.223;768.884;816.501;422.854;393.647;366.788;185.136;181.652;166.86;77.818;89.042;211.351;109.021;102.33;5.607;3.394;2.213
9;Prop. Lampung;1.440.894;738.896;701.998;844.752;439.844;404.908;316.16;159.86;156.3;148.745;65.472;83.273;129.554;72.737;56.817;1.683;983;700
10;Prop. Nusa Tenggara Timur;1.367.624;698.759;668.865;795.918;419.501;376.417;326.538;161.405;165.133;173.936;78.204;95.732;68.606;38.136;30.47;2.626;1.513;1.113
