Data Peserta Didik Nasional - Dapodikdasmen;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Prov. Jawa Barat;8.067.978;4.159.258;3.908.720;4.502.305;2.329.240;2.173.065;1.788.336;911.058;877.278;694.283;302.391;391.892;1.060.821;603.443;457.378;22.233;13.126;9.107
2;Prov. Jawa Timur;5.377.487;2.808.925;2.568.562;2.837.265;1.476.717;1.360.548;1.251.162;651.75;599.412;535.405;234.987;300.418;735.082;434.463;300.619;18.573;11.008;7.565
3;Prov. Jawa Tengah;5.241.190;2.705.734;2.535.456;2.855.449;1.488.583;1.366.866;1.191.837;606.609;585.228;402.275;152.836;249.439;775.054;447.925;327.129;16.575;9.781;6.794
4;Prov. Sumatera Utara;3.069.500;1.577.872;1.491.628;1.734.098;901.17;832.928;665.658;340.307;325.351;367.916;163.895;204.021;297.273;169.824;127.449;4.555;2.676;1.879
5;Prov. Banten;2.057.966;1.066.549;991.417;1.195.133;620.642;574.491;423.848;218.529;205.319;183.114;83.707;99.407;250.691;140.467;110.224;5.18;3.204;1.976
6;Prov. Sulawesi Selatan;1.677.963;854.517;823.446;926.755;482.496;444.259;382.639;191.453;191.186;233.818;102.583;131.235;129.979;75.17;54.809;4.772;2.815;1.957
7;Prov. Sumatera Selatan;1.605.165;824.744;780.421;933.106;486.033;447.073;354.554;178.538;176.016;203.865;93.843;110.022;111.245;64.82;46.425;2.395;1.51;885
8;Prov. D.K.I. Jakarta;1.571.801;801.468;770.333;813.443;420.927;392.516;362.952;183.62;179.332;170.712;79.875;90.837;218.998;113.594;105.404;5.696;3.452;2.244
9;Prov. Lampung;1.450.910;745.159;705.751;843.606;439.299;404.307;315.212;159.64;155.572;152.317;67.051;85.266;137.957;78.094;59.863;1.818;1.075;743
10;Prov. Nusa Tenggara Timur;1.375.113;702.724;672.389;775.608;409.362;366.246;336.909;166.883;170.026;181.805;81.489;100.316;78.306;43.562;34.744;2.485;1.428;1.057
11;Prov. Riau;1.307.218;674.166;633.052;798.029;417.186;380.843;262.443;133.234;129.209;151.086;67.639;83.447;92.678;54.201;38.477;2.982;1.906;1.076
12;Prov. Sumatera Barat;1.095.691;561.62;534.071;639.592;336.182;303.41;218.128;110.075;108.053;145.161;61.121;84.04;86.561;50.299;36.262;6.249;3.943;2.306
13;Prov. Kalimantan Barat;1.019.804;522.957;496.847;594.289;312.025;282.264;237.659;118.581;119.078;121.737;56.386;65.351;64.753;35.092;29.661;1.366;873;493
14;Prov. Aceh;876.007;453.47;422.537;490.171;256.092;234.079;191.848;100.589;91.259;136.763;62.253;74.51;54.066;32.605;21.461;3.159;1.931;1.228
15;Prov. Nusa Tenggara Barat;865.72;453.08;412.64;511.893;266.698;245.195;178.583;93.154;85.429;102.506;49.204;53.302;69.511;42.127;27.384;3.227;1.897;1.33
16;Prov. Bali;778.957;407.059;371.898;399.172;208.004;191.168;194.68;101.129;93.551;86.489;43.987;42.502;96.678;52.741;43.937;1.938;1.198;740
17;Prov. Kalimantan Timur;717.738;372.207;345.531;412.371;215.549;196.822;156.407;80.013;76.394;72.281;32.402;39.879;74.486;42.776;31.71;2.193;1.467;726
18;Prov. Papua;664.361;364.721;299.64;444.695;242.732;201.963;125.703;69;56.703;61.747;32.89;28.857;31.599;19.734;11.865;617;365;252
19;Prov. Jambi;641.99;331.047;310.943;389.15;202.612;186.538;126.598;64.311;62.287;75.656;35.085;40.571;48.86;27.955;20.905;1.726;1.084;642
20;Prov. Kalimantan Selatan;624.054;324.815;299.239;379.883;198.734;181.149;120.579;62.257;58.322;65.754;30.333;35.421;55.682;32.148;23.534;2.156;1.343;813
21;Prov. Sulawesi Tengah;593.687;302.663;291.024;343.207;179.156;164.051;132.46;65.759;66.701;71.763;32.864;38.899;44.895;24.029;20.866;1.362;855;507
22;Prov. Sulawesi Tenggara;574.54;294.372;280.168;319.865;166.661;153.204;129.773;65.469;64.304;89.777;42.57;47.207;32.254;17.924;14.33;2.871;1.748;1.123
23;Prov. D.I. Yogyakarta;570.854;294.556;276.298;293.311;152.265;141.046;128.492;66.23;62.262;55.236;23.177;32.059;88.677;49.769;38.908;5.138;3.115;2.023
24;Prov. Kalimantan Tengah;487.524;252.512;235.012;287.807;150.896;136.911;109.424;55.611;53.813;56.51;26.782;29.728;32.772;18.605;14.167;1.011;618;393
25;Prov. Sulawesi Utara;470.748;242.161;228.587;240.341;125.812;114.529;119.96;61.075;58.885;59.289;28.624;30.665;49.9;25.898;24.002;1.258;752;506
26;Prov. Maluku;417.059;216.319;200.74;228.119;119.89;108.229;96.95;50.118;46.832;69.586;33.858;35.728;21.476;11.865;9.611;928;588;340
27;Prov. Kepulauan Riau;384.444;197.852;186.592;225.398;117.284;108.114;86.822;43.983;42.839;41.733;18.733;23;29.249;17.091;12.158;1.242;761;481
28;Prov. Bengkulu;381.159;197.193;183.966;213.995;112.517;101.478;89.985;45.642;44.343;48.606;21.839;26.767;27.363;16.445;10.918;1.21;750;460
29;Prov. Sulawesi Barat;279.583;142.566;137.017;160.539;84.429;76.11;62.632;30.663;31.969;28.641;12.582;16.059;26.575;14.188;12.387;1.196;704;492
30;Prov. Maluku Utara;275.269;141.978;133.291;158.372;82.938;75.434;61.303;31.107;30.196;38.006;18.536;19.47;16.625;8.824;7.801;963;573;390
