Data Peserta Didik Nasional - Dapodikdasmen;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Prov. Jawa Barat;8.011.091;4.142.288;3.868.803;4.441.367;2.300.617;2.140.750;1.752.321;894.07;858.251;707.486;312.442;395.044;1.086.079;620.965;465.114;23.838;14.194;9.644
2;Prov. Jawa Timur;5.276.678;2.757.882;2.518.796;2.755.535;1.433.209;1.322.326;1.217.403;635.213;582.19;531.435;231.177;300.258;752.108;446.224;305.884;20.197;12.059;8.138
3;Prov. Jawa Tengah;5.140.654;2.654.975;2.485.679;2.770.211;1.443.663;1.326.548;1.170.060;595.781;574.279;408.083;153.494;254.589;773.937;451.099;322.838;18.363;10.938;7.425
4;Prov. Sumatera Utara;2.973.760;1.529.283;1.444.477;1.644.639;855.073;789.566;652.886;333.023;319.863;367.448;163.677;203.771;303.917;174.564;129.353;4.87;2.946;1.924
5;Prov. Banten;2.047.227;1.061.006;986.221;1.177.964;612.438;565.526;419.296;215.913;203.383;189.906;86.496;103.41;254.231;142.582;111.649;5.83;3.577;2.253
6;Prov. Sulawesi Selatan;1.612.796;821.921;790.875;887.783;462.119;425.664;362.476;181.071;181.405;226.081;99.597;126.484;132.004;76.497;55.507;4.452;2.637;1.815
7;Prov. Sumatera Selatan;1.579.975;811.492;768.483;907.763;473.156;434.607;346.965;175.166;171.799;203.116;92.735;110.381;119.484;68.806;50.678;2.647;1.629;1.018
8;Prov. D.K.I. Jakarta;1.557.840;794.514;763.326;804.978;416.281;388.697;361.032;181.211;179.821;163.355;75.748;87.607;222.281;117.52;104.761;6.194;3.754;2.44
9;Prov. Lampung;1.441.948;742.686;699.262;830.658;432.938;397.72;313.293;159.11;154.183;150.679;66.593;84.086;145.265;82.847;62.418;2.053;1.198;855
10;Prov. Nusa Tenggara Timur;1.329.818;678.313;651.505;705.972;373.415;332.557;343.52;170.675;172.845;188.434;84.067;104.367;89.464;48.751;40.713;2.428;1.405;1.023
11;Prov. Riau;1.299.764;670.45;629.314;786.785;411.023;375.762;255.762;129.735;126.027;154.644;68.97;85.674;99.309;58.639;40.67;3.264;2.083;1.181
12;Prov. Sumatera Barat;1.070.386;548.94;521.446;620.174;325.53;294.644;208.879;105.989;102.89;145.357;61.169;84.188;89.189;51.957;37.232;6.787;4.295;2.492
13;Prov. Kalimantan Barat;1.007.624;516.885;490.739;578.889;303.803;275.086;228.853;114.343;114.51;125.837;58.631;67.206;72.528;39.152;33.376;1.517;956;561
