Data Peserta Didik Nasional - Dapodikdasmen;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
10;Prov. Nusa Tenggara Timur;1.360.519;694.961;665.558;746.315;394.356;351.959;340.597;168.946;171.651;187.258;84.02;103.238;83.854;46.209;37.645;2.495;1.43;1.065
11;Prov. Riau;1.308.355;674.602;633.753;795.03;415.042;379.988;259.799;131.75;128.049;153.833;69.013;84.82;96.638;56.857;39.781;3.055;1.94;1.115
12;Prov. Sumatera Barat;1.084.458;556.03;528.428;631.649;331.502;300.147;213.159;107.867;105.292;145.617;61.573;84.044;87.547;50.975;36.572;6.486;4.113;2.373
13;Prov. Kalimantan Barat;1.015.888;521.311;494.577;587.791;308.354;279.437;233.026;116.501;116.525;124.418;57.884;66.534;69.268;37.692;31.576;1.385;880;505
14;Prov. Aceh;869.668;451.108;418.56;489.249;255.519;233.73;189.611;99.336;90.275;132.99;61.231;71.759;54.35;32.931;21.419;3.468;2.091;1.377
15;Prov. Nusa Tenggara Barat;859.538;450.17;409.368;510.577;266.005;244.572;173.413;90.552;82.861;100.438;48.3;52.138;71.817;43.372;28.445;3.293;1.941;1.352
16;Prov. Bali;778.653;406.434;372.219;399.948;208.195;191.753;190.273;98.882;91.391;87.637;44.071;43.566;98.7;53.997;44.703;2.095;1.289;806
17;Prov. Kalimantan Timur;719.224;372.575;346.649;410.804;214.136;196.668;156.612;80.174;76.438;74.164;33.163;41.001;75.274;43.521;31.753;2.37;1.581;789
18;Prov. Papua;656.932;359.261;297.671;435.895;236.969;198.926;124.617;68.466;56.151;63.016;33.217;29.799;32.733;20.229;12.504;671;380;291
19;Prov. Jambi;637.797;329.147;308.65;383.933;199.606;184.327;124.799;63.522;61.277;76.287;35.531;40.756;50.834;29.266;21.568;1.944;1.222;722
20;Prov. Kalimantan Selatan;620.965;323.225;297.74;376.983;197.027;179.956;117.05;60.511;56.539;67.458;31.325;36.133;57.21;32.958;24.252;2.264;1.404;860
21;Prov. Sulawesi Tengah;574.416;292.792;281.624;326.473;170.428;156.045;128.441;64.096;64.345;73.322;33.606;39.716;44.786;23.787;20.999;1.394;875;519
22;Prov. D.I. Yogyakarta;570.78;294.784;275.996;293.73;152.219;141.511;127.614;65.728;61.886;55.402;23.201;32.201;88.909;50.522;38.387;5.125;3.114;2.011
23;Prov. Sulawesi Tenggara;560.377;287.264;273.113;306.951;160.134;146.817;127.837;64.667;63.17;90.557;42.691;47.866;32.142;18.011;14.131;2.89;1.761;1.129
24;Prov. Kalimantan Tengah;485.059;251.341;233.718;283.25;148.755;134.495;108.309;54.985;53.324;58.251;27.629;30.622;34.139;19.301;14.838;1.11;671;439
25;Prov. Sulawesi Utara;457.129;235.078;222.051;228.677;119.697;108.98;115.451;59.011;56.44;61.353;29.27;32.083;50.266;26.283;23.983;1.382;817;565
26;Prov. Maluku;409.293;212.508;196.785;221.903;116.54;105.363;95.209;49.173;46.036;69.303;33.856;35.447;21.952;12.36;9.592;926;579;347
27;Prov. Kepulauan Riau;392.853;202.105;190.748;227.814;118.357;109.457;89.568;45.518;44.05;43.874;19.669;24.205;30.284;17.77;12.514;1.313;791;522
28;Prov. Bengkulu;375.887;194.589;181.298;209.207;109.975;99.232;88.906;45.1;43.806;48.088;21.69;26.398;28.343;17.005;11.338;1.343;819;524
29;Prov. Kepulauan Bangka Belitung;275.417;141.085;134.332;162.932;84.981;77.951;59.535;29.844;29.691;27.575;12.375;15.2;24.387;13.28;11.107;988;605;383
30;Prov. Sulawesi Barat;272.915;139.071;133.844;155.392;81.477;73.915;59.329;29.268;30.061;29.744;13.163;16.581;27.059;14.345;12.714;1.391;818;573
31;Prov. Maluku Utara;268.82;138.879;129.941;151.236;79.285;71.951;60.689;30.901;29.788;39.142;19.126;20.016;16.842;9.03;7.812;911;537;374
32;Prov. Papua Barat;221.05;115.863;105.187;132.844;69.873;62.971;47.926;24.756;23.17;26.478;13.043;13.435;13.564;8.05;5.514;238;141;97
33;Prov. Gorontalo;215.361;108.32;107.041;117.836;61.197;56.639;49.273;23.953;25.32;28.544;12.424;16.12;18.765;10.182;8.583;943;564;379
34;Prov. Kalimantan Utara;135.907;70.185;65.722;78.365;41.045;37.32;31.339;15.976;15.363;16.794;8.029;8.765;9.01;4.861;4.149;399;274;125
35;Luar Negeri;18.89;9.669;9.221;13.549;7.024;6.525;4.596;2.294;2.302;678;329;349;67;22;45;0;0;0
Total;Total;45.037.323;23.276.656;21.760.667;25.144.270;13.101.545;12.042.725;9.944.620;5.078.241;4.866.379;4.828.344;2.155.393;2.672.951;4.985.445;2.860.262;2.125.183;134.644;81.215;53.429
