Data Peserta Didik Nasional - Dapodikdasmen;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Prov. Jawa Barat;8.045.412;4.160.397;3.885.015;4.475.589;2.316.700;2.158.889;1.760.102;897.343;862.759;706.739;313.383;393.356;1.080.111;619.378;460.733;22.871;13.593;9.278
2;Prov. Jawa Timur;5.332.105;2.785.579;2.546.526;2.806.666;1.459.529;1.347.137;1.226.983;639.485;587.498;533.694;233.35;300.344;745.426;441.717;303.709;19.336;11.498;7.838
3;Prov. Jawa Tengah;5.195.122;2.682.880;2.512.242;2.823.123;1.470.961;1.352.162;1.174.096;597.269;576.827;405.327;153.258;252.069;774.989;450.981;324.008;17.587;10.411;7.176
4;Prov. Sumatera Utara;3.027.325;1.556.489;1.470.836;1.697.830;882.429;815.401;657.586;335.798;321.788;366.327;163.246;203.081;300.756;172.137;128.619;4.826;2.879;1.947
5;Prov. Banten;2.049.858;1.063.256;986.602;1.187.511;617.25;570.261;418.592;215.674;202.918;184.766;84.567;100.199;253.585;142.437;111.148;5.404;3.328;2.076
6;Prov. Sulawesi Selatan;1.643.433;837.489;805.944;908.126;472.257;435.869;369.905;185.432;184.473;229.786;101.269;128.517;131.011;75.812;55.199;4.605;2.719;1.886
7;Prov. Sumatera Selatan;1.591.000;817.558;773.442;920.138;479.562;440.576;350.066;176.447;173.619;203.098;93.196;109.902;115.229;66.817;48.412;2.469;1.536;933
8;Prov. D.K.I. Jakarta;1.561.749;797.087;764.662;807.793;418.131;389.662;358.53;180.825;177.705;165.927;77.18;88.747;223.699;117.422;106.277;5.8;3.529;2.271
9;Prov. Lampung;1.445.168;743.564;701.604;839.161;437.028;402.133;311.782;158.191;153.591;150.459;66.515;83.944;141.899;80.745;61.154;1.867;1.085;782
