Data Peserta Didik Nasional - Dapodikdasmen;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Prop. Jawa Barat;7.819.983;4.030.236;3.789.739;4.542.524;2.350.338;2.192.186;1.781.458;904.112;877.346;587.961;253.921;334.04;907.59;521.601;385.981;450;264;186
2;Prop. Jawa Timur;5.331.786;2.787.686;2.544.094;2.910.105;1.518.194;1.391.911;1.259.955;654.377;605.578;493.879;218.275;275.604;661.231;392.91;268.315;6.616;3.93;2.686
3;Prop. Jawa Tengah;5.187.236;2.679.653;2.507.582;2.902.754;1.516.623;1.386.131;1.206.604;611.517;595.087;371.662;141.771;229.891;702.409;407.511;294.897;3.807;2.231;1.576
4;Prop. Sumatera Utara;3.041.808;1.561.969;1.479.839;1.774.857;924.656;850.201;650.755;331.679;319.076;340.045;150.424;189.621;274.806;154.378;120.428;1.345;832;513
5;Prop. Banten;2.010.496;1.042.786;967.71;1.197.230;622.152;575.078;422.369;217.917;204.452;168.16;77.331;90.829;221.944;124.873;97.071;793;513;280
6;Prop. Sulawesi Selatan;1.702.470;868.317;834.151;967.582;504.974;462.608;388.788;193.257;195.531;221.981;98.37;123.611;123.552;71.381;52.169;567;335;232
7;Prop. D.K.I. Jakarta;1.625.385;828.711;796.674;884.407;459.303;425.104;373.48;187.735;185.745;160.313;75.184;85.129;206.753;106.227;100.526;432;262;170
8;Prop. Sumatera Selatan;1.571.461;806.455;765.006;940.828;490.526;450.302;345.814;173.681;172.133;191.35;87.644;103.706;93.354;54.517;38.837;115;87;28
9;Prop. Lampung;1.416.992;726.273;690.719;844.103;439.842;404.261;315.985;158.91;157.075;138.048;60.423;77.625;118.751;67.032;51.719;105;66;39
10;Prop. Nusa Tenggara Timur;1.352.988;691.153;661.835;815.756;428.898;386.858;313.893;154.879;159.014;162.087;73.117;88.97;60.735;33.981;26.754;517;278;239
11;Prop. Riau;1.268.444;653.839;614.602;800.565;418.734;381.831;250.615;126.766;123.849;137.354;61.201;76.153;79.452;46.855;32.594;458;283;175
12;Prop. Sumatera Barat;1.081.252;551.663;529.463;653.54;342.933;310.607;213.679;107.113;106.566;136.875;57.099;79.776;75.948;43.77;32.052;1.21;748;462
13;Prop. Kalimantan Barat;991.943;507.49;484.453;608.679;319.641;289.038;226.105;111.172;114.933;105.632;48.776;56.856;51.374;27.805;23.569;153;96;57
14;Prop. Aceh;861.048;445.435;415.613;481.759;253.133;228.626;198.021;103.031;94.99;134.107;61.406;72.701;45.805;27.061;18.744;1.356;804;552
15;Prop. Nusa Tenggara Barat;856.077;447.271;408.806;513.795;268.273;245.522;179.378;93.063;86.315;101.354;48.607;52.747;60.941;36.967;23.974;609;361;248
16;Prop. Bali;768.437;401.789;366.648;405.063;210.791;194.272;195.861;102.364;93.497;82.503;42.226;40.277;85.01;46.408;38.602;0;0;0
17;Prop. Kalimantan Timur;698.358;362.075;336.283;413.31;216.437;196.873;152.284;77.699;74.585;63.113;27.951;35.162;69.607;39.958;29.649;44;30;14
18;Prop. Jambi;629.607;324.727;304.88;394.487;206.059;188.428;123.113;62.512;60.601;70.408;32.413;37.995;41.144;23.459;17.685;455;284;171
19;Prop. Kalimantan Selatan;610.552;317.948;292.604;383.816;201.325;182.491;119.15;61.09;58.06;57.81;26.505;31.305;48.879;28.499;20.38;897;529;368
20;Prop. Papua;602.331;332.123;270.208;405.259;221.497;183.762;115.305;63.905;51.4;55.457;29.939;25.518;26.115;16.665;9.45;195;117;78
21;Prop. Sulawesi Tengah;594.415;302.687;291.727;364.866;190.14;174.726;127.933;63.294;64.639;64.205;29.624;34.581;37.347;19.589;17.757;64;40;24
22;Prop. Sulawesi Tenggara;575.523;294.559;280.964;337.601;175.746;161.855;124.592;62.627;61.965;83.411;39.586;43.825;28.644;15.824;12.82;1.275;776;499
23;Prop. D.I. Yogyakarta;553.838;285.398;268.44;292.088;152.436;139.652;128.824;65.829;62.995;51.929;21.676;30.253;80.997;45.457;35.54;0;0;0
24;Prop. Sulawesi Utara;478.521;245.928;232.593;259.659;136.277;123.382;118.954;60.169;58.785;53.295;25.922;27.373;46.331;23.394;22.937;282;166;116
25;Prop. Kalimantan Tengah;473.92;245.843;228.077;292.836;153.862;138.974;104.229;52.394;51.835;49.209;23.673;25.536;27.35;15.736;11.614;296;178;118
26;Prop. Maluku;410.635;212.692;197.943;231.464;121.742;109.722;94.965;48.474;46.491;66.309;32.518;33.791;17.781;9.884;7.897;116;74;42
27;Prop. Bengkulu;377.069;194.896;182.172;220.937;116.007;104.93;87.085;44.289;42.796;44.574;19.893;24.681;24.238;14.564;9.673;235;143;92
28;Prop. Kepulauan Riau;360.077;185.119;174.957;221.154;114.984;106.17;78.305;39.831;38.474;35.28;15.939;19.341;25.286;14.337;10.948;52;28;24
29;Prop. Sulawesi Barat;279.921;142.927;136.994;169.215;89.095;80.12;60.958;29.654;31.304;25.051;11.179;13.872;24.468;12.858;11.61;229;141;88
30;Prop. Maluku Utara;270.903;139.718;131.185;162.744;85.341;77.403;58.492;29.51;28.982;34.644;17.055;17.589;14.781;7.687;7.094;242;125;117
31;Prop. Bangka Belitung;258.086;132.015;126.071;158.655;83.082;75.573;56.495;28.185;28.31;22.021;9.708;12.313;20.875;11.014;9.861;40;26;14
32;Prop. Gorontalo;225.771;113.608;112.163;133.738;69.364;64.374;49.22;23.884;25.336;24.442;10.445;13.997;18.371;9.915;8.456;0;0;0
33;Prop. Papua Barat;209.837;110.029;99.808;132.06;69.296;62.764;43.819;22.653;21.166;23.337;11.862;11.475;10.482;6.132;4.35;139;86;53
34;Prop. Kalimantan Utara;130.805;67.394;63.411;78.078;41.103;36.975;29.778;15.043;14.735;15.017;7.016;8.001;7.932;4.232;3.7;0;0;0
35;Luar Negeri;3.091;1.558;1.533;2.323;1.185;1.138;529;261;268;239;112;127;0;0;0;0;0;0
Total;Total;44.631.066;23.041.970;21.588.947;25.897.837;13.513.989;12.383.848;9.996.790;5.082.876;4.913.914;4.373.062;1.948.791;2.424.271;4.340.283;2.482.481;1.857.653;23.094;13.833;9.261
